	GCF_000026025.1_ASM2602v1_genomic	GCF_000213905.2_ASM21390v2_genomic	GCF_000952935.1_CAAB7_genomic	GCF_002205755.1_ASM220575v1_genomic	GCF_002895085.1_ASM289508v1_genomic	GCF_900002505.1_CA1H_genomic	GCF_900002515.1_1BCEVAC_genomic	GCF_900118495.1_7067_6_42_genomic	GCF_900118505.1_7067_6_67_genomic	GCF_900118525.1_7067_6_50_genomic	GCF_900118535.1_4880_2_10_genomic	GCF_900118545.1_7067_6_37_genomic	GCF_900118555.1_7067_6_59_genomic	GCF_900118575.1_4880_2_5_genomic	GCF_900118585.1_4880_6_9_genomic	GCF_900118595.1_4880_6_7_genomic	GCF_900118605.1_4880_2_8_genomic	GCF_900118615.1_4880_2_7_genomic	GCF_900118625.1_7067_6_53_genomic	GCF_900118635.1_7067_6_52_genomic	GCF_900118655.1_7067_6_75_genomic	GCF_900118675.1_7067_6_44_genomic	GCF_900118685.1_4880_6_8_genomic	GCF_900118695.1_7067_6_49_genomic	GCF_900118725.1_4880_2_2_genomic	GCF_900118735.1_7067_6_66_genomic	GCF_900118745.1_7067_6_51_genomic	GCF_900118755.1_5965_6_9_genomic	GCF_900118775.1_7067_6_65_genomic	GCF_900118785.1_7067_6_73_genomic	GCF_900118795.1_4880_2_4_genomic	GCF_900118805.1_7067_6_68_genomic	GCF_900118815.1_7067_6_43_genomic	GCF_900118835.1_7067_6_74_genomic	GCF_900118845.1_7067_6_57_genomic	GCF_900118855.1_7067_6_70_genomic	GCF_900118865.1_7067_6_69_genomic	GCF_900118875.1_7067_6_47_genomic	GCF_900118885.1_7067_6_62_genomic	GCF_900118895.1_7067_6_71_genomic	GCF_900118905.1_7067_6_55_genomic	GCF_900118915.1_7067_6_72_genomic	GCF_900118925.1_7067_6_63_genomic	GCF_900118935.1_7067_6_82_genomic	GCF_900118945.1_7067_6_78_genomic	GCF_900118955.1_7067_6_76_genomic	GCF_900118965.1_7067_6_83_genomic	GCF_900118975.1_9471_4_63_genomic	GCF_900118985.1_9471_4_64_genomic	GCF_900118995.1_9471_4_65_genomic	GCF_900119015.1_9471_4_67_genomic	GCF_900119025.1_9471_4_71_genomic	GCF_900119045.1_9471_4_70_genomic	GCF_900128555.1_7067_6_61_genomic	Total
OG0000000	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	171	150	1	0	0	5	0	0	0	105	0	0	0	0	1	76	0	0	0	0	1	2	0	0	0	0	1	0	0	14	1	0	0	0	0	1	0	0	0	532
OG0000001	0	0	0	0	0	0	0	0	0	0	17	0	0	18	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	31	2	0	43	24	0	210
OG0000002	4	0	4	4	4	4	4	1	2	2	1	3	3	0	1	2	3	2	3	2	3	2	1	1	1	2	3	3	3	2	1	2	2	2	3	3	1	3	3	2	3	3	3	2	2	1	3	2	3	2	3	3	2	2	126
OG0000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	49	0	0	0	6	0	0	0	3	0	0	0	0	2	6	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	125
OG0000004	2	1	2	3	3	2	2	1	2	2	2	1	1	2	1	2	1	2	0	2	1	2	2	2	3	0	0	0	1	2	3	2	2	0	0	1	2	2	1	2	1	1	0	2	2	2	1	1	1	2	2	2	2	2	83
OG0000005	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1	2	1	1	1	2	65
OG0000006	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	61
OG0000007	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	60
OG0000008	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	7	9	0	0	1	1	0	0	0	2	0	0	0	1	0	9	0	0	4	0	5	5	0	0	3	0	1	1	5	2	0	0	0	0	0	0	0	0	0	58
OG0000009	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56
OG0000010	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56
