Accession  Genome                                                             Gene_ID_1           Gene_ID_2           Gene_tag_1         Gene_tag_2         Protein_ID_1    Protein_ID_2
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_029170  ACBA003c01a_029260  nrdB               ABAYE3078          YP_001714857.1  YP_001714866.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_029460  ACBA003c01a_029510  add                nadA               YP_001714886.1  YP_001714887.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_029820  ACBA003c01a_029890  rpoN               ABAYE3139          YP_001714918.1  YP_001714920.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_030460  ACBA003c01a_030700  ABAYE3196          dusA               YP_001714977.1  YP_001715001.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_030780  ACBA003c01a_030830  prfC               ilvC               YP_001715009.1  YP_001715014.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_002100  ACBA003c01a_002120  ABAYE0216          ABAYE0217          YP_001712204.1  YP_001712205.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_002160  ACBA003c01a_002320  ABAYE0221          ABAYE0236          YP_001712209.1  YP_001712224.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_033860  ACBA003c01a_034770  ABAYE3550          ABAYE3674          YP_001715307.1  YP_001715398.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_035870  ACBA003c01a_035950  ABAYE3783          ABAYE3791          YP_001715501.1  YP_001715509.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_036070  ACBA003c01a_036200  galU               ptp                YP_001715521.1  YP_001715534.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_005300  ACBA003c01a_005760  queA               glnE               YP_001712502.1  YP_001712547.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_007170  ACBA003c01a_007210  ABAYE0718          ABAYE0721          YP_001712682.1  YP_001712685.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_007790  ACBA003c01a_007920  sucD               greA               YP_001712743.1  YP_001712756.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_008820  ACBA003c01a_008830  ABAYE0891          ABAYE0892          YP_001712842.1  YP_001712843.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_009010  ACBA003c01a_009020  ABAYE0913          ABAYE0914          YP_001712861.1  YP_001712862.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_009530  ACBA003c01a_009540  ABAYE0964          dusB               YP_001712912.1  YP_001712913.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_009560  ACBA003c01a_009650  ABAYE0967          slyD               YP_001712915.1  YP_001712924.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_009700  ACBA003c01a_009740  ABAYE0981          ABAYE0985          YP_001712929.1  YP_001712933.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_010310  ACBA003c01a_010340  rpmE               ABAYE1057          YP_001712990.1  YP_001712993.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_010370  ACBA003c01a_010780  ABAYE1060          ABAYE1105          YP_001712996.1  YP_001713036.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_010940  ACBA003c01a_010990  ABAYE1122          ubiC               YP_001713052.1  YP_001713057.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_011400  ACBA003c01a_011450  ABAYE1166          glyA               YP_001713096.1  YP_001713100.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_001160  ACBA003c01a_001230  dsbB               ABAYE0124          YP_001712110.1  YP_001712117.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_011910  ACBA003c01a_012440  gpsA               ABAYE1277          YP_001713146.1  YP_001713199.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_012780  ACBA003c01a_013230  gltS               ABAYE1358          YP_001713229.1  YP_001713274.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_013830  ACBA003c01a_013840  ABAYE1425          ABAYE1426          YP_001713334.1  YP_001713335.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_013870  ACBA003c01a_013890  ABAYE1429          ABAYE1431          YP_001713338.1  YP_001713340.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_014420  ACBA003c01a_014560  ABAYE1487          mgtA               YP_001713393.1  YP_001713407.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_014780  ACBA003c01a_014840  ABAYE1528          ABAYE1536          YP_001713429.1  YP_001713435.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_016620  ACBA003c01a_018550  ABAYE1722          ABAYE1936          YP_001713613.1  YP_001713806.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_019660  ACBA003c01a_019670  glcB               ABAYE2054          YP_001713917.1  YP_001713918.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_020260  ACBA003c01a_020340  ABAYE2115          ABAYE2124          YP_001713977.1  YP_001713985.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_020520  ACBA003c01a_020650  ABAYE2147          ABAYE2163          YP_001714003.1  YP_001714015.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_020910  ACBA003c01a_021340  dnaE               ABAYE2240          YP_001714041.1  YP_001714084.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_021360  ACBA003c01a_022740  ABAYE2242          ABAYE2392          YP_001714086.1  YP_001714224.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_022770  ACBA003c01a_023180  ABAYE2395          bccA               YP_001714227.1  YP_001714268.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_023340  ACBA003c01a_023530  ABAYE2457          ABAYE2480          YP_001714284.1  YP_001714303.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_023660  ACBA003c01a_024100  cysS               ABAYE2540          YP_001714316.1  YP_001714359.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_024610  ACBA003c01a_024620  alaS               lysC               YP_001714409.1  YP_001714410.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_024630  ACBA003c01a_025030  csrA               fadH               YP_001714411.1  YP_001714450.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_025440  ACBA003c01a_026180  ABAYE2682          ABAYE2758          YP_001714490.1  YP_001714564.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_027230  ACBA003c01a_027560  betB               ggt                YP_001714669.1  YP_001714702.1
NC_010410  Acinetobacter_baumannii_AYE                                        ACBA003c01a_028190  ACBA003c01a_028200  coaD               smpB               YP_001714763.1  YP_001714764.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_019860  ALMA001c01a_019900  MADE_1009650       MADE_1009670       YP_004427066.1  YP_004427070.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_020010  ALMA001c01a_020210  MADE_1009725       MADE_1009825       YP_004427081.1  YP_004427101.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_020600  ALMA001c01a_020990  MADE_000001022025  MADE_000001022045  YP_008549841.1  YP_008549843.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_021210  ALMA001c01a_021350  MADE_1010520       MADE_000001022070  YP_004427240.1  YP_008549846.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_022070  ALMA001c01a_022280  MADE_1010975       MADE_1011085       YP_004427331.1  YP_004427351.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_022980  ALMA001c01a_023020  MADE_1013545       MADE_1013565       YP_004427841.1  YP_004427845.1
