locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHCJGCNO_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
MHCJGCNO_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
MHCJGCNO_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
MHCJGCNO_00004	CDS	297				hypothetical protein
MHCJGCNO_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
MHCJGCNO_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
MHCJGCNO_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
MHCJGCNO_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
MHCJGCNO_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
MHCJGCNO_00010	CDS	714				hypothetical protein
MHCJGCNO_00011	CDS	405				hypothetical protein
MHCJGCNO_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
MHCJGCNO_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
MHCJGCNO_00014	CDS	153	hokC			Toxic protein HokC
MHCJGCNO_00015	CDS	762				hypothetical protein
MHCJGCNO_00016	CDS	1494		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
MHCJGCNO_00017	CDS	1260				hypothetical protein
MHCJGCNO_00018	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
MHCJGCNO_00019	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
MHCJGCNO_00020	CDS	264	rpsT		COG0268	30S ribosomal protein S20
MHCJGCNO_00021	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
MHCJGCNO_00022	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MHCJGCNO_00023	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
MHCJGCNO_00024	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
MHCJGCNO_00025	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MHCJGCNO_00026	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
MHCJGCNO_00027	CDS	366				hypothetical protein
MHCJGCNO_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MHCJGCNO_00029	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
MHCJGCNO_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
MHCJGCNO_00031	CDS	396				hypothetical protein
MHCJGCNO_00032	CDS	591	yrdA_1		COG0663	Protein YrdA
MHCJGCNO_00033	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
MHCJGCNO_00034	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
MHCJGCNO_00035	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
MHCJGCNO_00036	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
MHCJGCNO_00037	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
MHCJGCNO_00038	CDS	771	fixA_1		COG2086	Protein FixA
MHCJGCNO_00039	CDS	942	fixB_1		COG2025	Protein FixB
MHCJGCNO_00040	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
MHCJGCNO_00041	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
MHCJGCNO_00042	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
MHCJGCNO_00043	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
MHCJGCNO_00044	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
MHCJGCNO_00045	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
MHCJGCNO_00046	CDS	234				hypothetical protein
MHCJGCNO_00047	CDS	315	ccdB			Toxin CcdB
MHCJGCNO_00048	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
MHCJGCNO_00049	CDS	378	apaG		COG2967	Protein ApaG
MHCJGCNO_00050	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
MHCJGCNO_00051	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
MHCJGCNO_00052	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
MHCJGCNO_00053	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
MHCJGCNO_00054	CDS	882	djlA		COG1076	Co-chaperone protein DjlA
MHCJGCNO_00055	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
MHCJGCNO_00056	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
MHCJGCNO_00057	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
MHCJGCNO_00058	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
MHCJGCNO_00059	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
MHCJGCNO_00060	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
MHCJGCNO_00061	CDS	846	araC			Arabinose operon regulatory protein
MHCJGCNO_00062	CDS	849				hypothetical protein
MHCJGCNO_00063	CDS	423				hypothetical protein
MHCJGCNO_00064	CDS	765	yabI		COG0586	Inner membrane protein YabI
MHCJGCNO_00065	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
MHCJGCNO_00066	CDS	1611				hypothetical protein
MHCJGCNO_00067	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
MHCJGCNO_00068	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
MHCJGCNO_00069	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
MHCJGCNO_00070	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
MHCJGCNO_00071	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
MHCJGCNO_00072	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
MHCJGCNO_00073	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
MHCJGCNO_00074	CDS	945	leuO			HTH-type transcriptional regulator LeuO
MHCJGCNO_00075	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
MHCJGCNO_00076	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
MHCJGCNO_00077	CDS	1005	cra		COG1609	Catabolite repressor/activator
MHCJGCNO_00078	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
MHCJGCNO_00079	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
MHCJGCNO_00080	CDS	366	ftsL		COG3116	Cell division protein FtsL
MHCJGCNO_00081	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
MHCJGCNO_00082	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
MHCJGCNO_00083	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MHCJGCNO_00084	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
MHCJGCNO_00085	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
MHCJGCNO_00086	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
MHCJGCNO_00087	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MHCJGCNO_00088	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
