	GCF_000024485.1_ASM2448v1_genomic	GCF_000246755.1_ASM24675v1_genomic	GCF_000246775.1_ASM24677v1_genomic	GCF_000246795.1_ASM24679v1_genomic	GCF_000246815.1_ASM24681v1_genomic	GCF_000304295.1_ASM30429v1_genomic	GCF_000387485.1_ASM38748v1_genomic	GCF_000410535.2_ASM41053v2_genomic	GCF_000410555.1_ASM41055v1_genomic	GCF_000604125.1_ASM60412v1_genomic	GCF_000813285.1_ASM81328v1_genomic	GCF_001628695.1_ASM162869v1_genomic	GCF_001655235.1_ASM165523v1_genomic	GCF_001655275.1_ASM165527v1_genomic	GCF_001655315.1_ASM165531v1_genomic	GCF_001655355.1_ASM165535v1_genomic	GCF_001655395.1_ASM165539v1_genomic	GCF_001655435.1_ASM165543v1_genomic	GCF_001655475.1_ASM165547v1_genomic	GCF_001655515.1_ASM165551v1_genomic	GCF_001655555.1_ASM165555v1_genomic	GCF_001712895.1_ASM171289v1_genomic	GCF_001712915.1_ASM171291v1_genomic	GCF_001712935.1_ASM171293v1_genomic	GCF_001712955.1_ASM171295v1_genomic	GCF_001712975.1_ASM171297v1_genomic	GCF_001712995.1_ASM171299v1_genomic	GCF_001713015.1_ASM171301v1_genomic	GCF_001713035.1_ASM171303v1_genomic	GCF_001713055.1_ASM171305v1_genomic	GCF_001713075.1_ASM171307v1_genomic	GCF_001713095.1_ASM171309v1_genomic	GCF_001713115.1_ASM171311v1_genomic	GCF_001713135.1_ASM171313v1_genomic	GCF_001713155.1_ASM171315v1_genomic	GCF_001713175.1_ASM171317v1_genomic	GCF_001713195.1_ASM171319v1_genomic	GCF_001713215.1_ASM171321v1_genomic	GCF_001713235.1_ASM171323v1_genomic	GCF_001713255.1_ASM171325v1_genomic	GCF_001713275.1_ASM171327v1_genomic	GCF_001713295.1_ASM171329v1_genomic	GCF_001713315.1_ASM171331v1_genomic	GCF_001713335.1_ASM171333v1_genomic	GCF_001761515.1_ASM176151v1_genomic	GCF_001761565.1_ASM176156v1_genomic	GCF_001941545.1_ASM194154v1_genomic	GCF_002271195.1_ASM227119v1_genomic	GCF_002271235.1_ASM227123v1_genomic	GCF_003055985.1_ASM305598v1_genomic	GCF_003076575.1_ASM307657v1_genomic	Total
OG0000000	3	4	4	4	3	3	4	3	3	3	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	4	160
OG0000001	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	100
OG0000002	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	100
OG0000003	1	2	2	2	1	1	2	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	58
OG0000004	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52
OG0000005	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52
OG0000006	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52
OG0000007	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52
OG0000008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0000009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0000010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
