id,contig,og,description,start_coord,end_coord
0,0,PG0000821_0,putative_tRNA/rRNA_methyltransferase,4640306,4641628
1,0,OG0002784,Aerobic_respiration_control_protein_ArcA,4639590,4640306
2,0,PG0001378_0,Inner_membrane_protein_CreD,4638120,4639590
3,0,OG0002783,Sensor_protein_CreC,4636696,4638120
4,0,OG0002782,Transcriptional_regulatory_protein_CreB,4636007,4636696
5,0,OG0002781,hypothetical_protein,4635521,4635994
6,0,PG0001377_0,Right_origin-binding_protein,4634444,4635521
7,0,OG0002780,Putative_phosphoserine_phosphatase_2,4633797,4634444
8,0,OG0002779,Non-canonical_purine_NTP_phosphatase,4633233,4633745
9,0,OG0002778,Trp_operon_repressor,4632790,4633086
10,0,OG0002777,Soluble_lytic_murein_transglycosylase,4630733,4632670
11,0,OG0002776,Energy-dependent_translational_throttle_protein_EttA,4628855,4630522
12,0,OG0004214,hypothetical_protein,4628581,4628748
13,0,OG0002775,Trifunctional_NAD_biosynthesis/regulator_protein_NadR,4627315,4628547
14,0,OG0002774,DNA_repair_protein_RadA,4625912,4627294
15,0,OG0002773,Phosphoserine_phosphatase,4624895,4625863
16,0,OG0003597,hypothetical_protein,4624145,4624789
17,0,OG0002772,Lipoate-protein_ligase_A,4623101,4624117
18,0,OG0004452,hypothetical_protein,4621769,4623100
19,0,OG0002771,Purine_nucleoside_phosphorylase_DeoD-type,4620883,4621602
20,0,OG0002770,Phosphopentomutase,4619603,4620826
21,0,PG0001376_0,Thymidine_phosphorylase,4618102,4619603
22,0,OG0002769,Deoxyribose-phosphate_aldolase,4617323,4618102
23,0,PG0000271_0,hypothetical_protein,4615543,4617323
24,0,OG0002768,Putative_glycyl-radical_enzyme_activating_enzyme_YjjW,4614680,4615543
25,0,OG0002767,putative_metal-dependent_hydrolase_YjjV,4613481,4614260
26,0,OG0002766,hypothetical_protein,4612411,4613484
27,0,PG0001375_0,hypothetical_protein,4612001,4612411
28,0,PG0000820_0,Osmotically-inducible_protein_Y,4611003,4612128
29,0,PG0001374_0,Peptide_chain_release_factor_RF3,4609323,4611396
30,0,PG0001373_0,Pyrimidine_5'-nucleotidase_YjjG,4608631,4609414
31,0,PG0001372_0,Ribosomal-protein-alanine_acetyltransferase,4608216,4608646
32,0,PG0001371_0,DNA_polymerase_III_subunit_psi,4607700,4608185
33,0,PG0001370_0,Ribosomal_RNA_small_subunit_methyltransferase_C,4606040,4607803
34,0,PG0000819_0,hypothetical_protein,4605663,4606669
35,0,PG0000818_0,Ferric_iron_reductase_protein_FhuF,4604837,4605804
36,0,OG0002765,Transcriptional_activator_protein_BglJ,4604160,4604837
37,0,OG0002764,Putative_transcription_factor_YjjQ,4603477,4604202
38,0,OG0002763,Inner_membrane_protein_YjjP,4602088,4602858
