	GCF_000027345.1_ASM2734v1_genomic	GCF_000143945.1_ASM14394v1_genomic	GCF_000283755.1_ASM28375v1_genomic	GCF_000319655.2_ASM31965v2_genomic	GCF_000319675.2_ASM31967v2_genomic	GCF_000331085.3_ASM33108v2_genomic	GCF_000387745.2_ASM38774v2_genomic	GCF_000733995.1_ASM73399v1_genomic	GCF_001272715.1_ASM127271v1_genomic	GCF_001272735.1_ASM127273v1_genomic	GCF_001272755.1_ASM127275v1_genomic	GCF_001272775.1_ASM127277v1_genomic	GCF_001272795.1_ASM127279v1_genomic	GCF_001272815.1_ASM127281v1_genomic	GCF_001272835.1_ASM127283v1_genomic	GCF_001272855.1_ASM127285v1_genomic	GCF_001272875.1_ASM127287v1_genomic	GCF_001272895.1_ASM127289v1_genomic	GCF_001272915.1_ASM127291v1_genomic	GCF_001296485.1_ASM129648v1_genomic	GCF_001296505.1_ASM129650v1_genomic	GCF_001296515.1_ASM129651v1_genomic	GCF_001296525.1_ASM129652v1_genomic	GCF_001296565.1_ASM129656v1_genomic	GCF_001296585.1_ASM129658v1_genomic	GCF_001296605.1_ASM129660v1_genomic	GCF_001296615.1_ASM129661v1_genomic	GCF_001296625.1_ASM129662v1_genomic	GCF_001296665.1_ASM129666v1_genomic	GCF_001296685.1_ASM129668v1_genomic	GCF_001296705.1_ASM129670v1_genomic	GCF_001296725.1_ASM129672v1_genomic	GCF_001296735.1_ASM129673v1_genomic	GCF_001296765.1_ASM129676v1_genomic	GCF_001296785.1_ASM129678v1_genomic	GCF_001296815.1_ASM129681v1_genomic	GCF_001296825.1_ASM129682v1_genomic	GCF_001296855.1_ASM129685v1_genomic	GCF_001296885.1_ASM129688v1_genomic	GCF_001296895.1_ASM129689v1_genomic	GCF_001296905.1_ASM129690v1_genomic	GCF_001455605.1_ASM145560v1_genomic	GCF_001455625.1_ASM145562v1_genomic	GCF_001455635.1_ASM145563v1_genomic	GCF_001455675.1_ASM145567v1_genomic	GCF_001455685.1_ASM145568v1_genomic	GCF_001455695.1_ASM145569v1_genomic	GCF_001455735.1_ASM145573v1_genomic	GCF_001455745.1_ASM145574v1_genomic	GCF_001455775.1_ASM145577v1_genomic	GCF_001455795.1_ASM145579v1_genomic	GCF_001509195.1_ASM150919v1_genomic	GCF_001558175.1_ASM155817v1_genomic	GCF_001901705.1_ASM190170v1_genomic	GCF_002090215.1_ASM209021v1_genomic	GCF_002090235.1_ASM209023v1_genomic	GCF_002090275.1_ASM209027v1_genomic	GCF_002090295.1_ASM209029v1_genomic	GCF_002090315.1_ASM209031v1_genomic	GCF_002095995.1_ASM209599v1_genomic	GCF_002096015.1_ASM209601v1_genomic	GCF_002096035.1_ASM209603v1_genomic	GCF_002127985.1_ASM212798v1_genomic	GCF_002128005.1_ASM212800v1_genomic	GCF_002128025.1_ASM212802v1_genomic	GCF_002128045.1_ASM212804v1_genomic	GCF_002128065.1_ASM212806v1_genomic	GCF_002128085.1_ASM212808v1_genomic	GCF_002128105.1_ASM212810v1_genomic	GCF_002128125.1_ASM212812v1_genomic	GCF_002128145.1_ASM212814v1_genomic	GCF_002128165.1_ASM212816v1_genomic	GCF_002128185.1_ASM212818v1_genomic	GCF_002128205.1_ASM212820v1_genomic	GCF_002128235.1_ASM212823v1_genomic	GCF_002128265.1_ASM212826v1_genomic	GCF_002128285.1_ASM212828v1_genomic	GCF_002147855.1_ASM214785v1_genomic	GCF_002355695.1_ASM235569v1_genomic	GCF_002355715.1_ASM235571v1_genomic	GCF_002563345.1_ASM256334v1_genomic	GCF_002563355.1_ASM256335v1_genomic	GCF_002563365.1_ASM256336v1_genomic	GCF_002563415.1_ASM256341v1_genomic	GCF_002563435.1_ASM256343v1_genomic	GCF_002563495.1_ASM256349v1_genomic	GCF_002563515.1_ASM256351v1_genomic	GCF_002563545.1_ASM256354v1_genomic	Total
OG0000000	7	8	8	8	8	6	7	8	8	8	8	8	8	8	8	8	8	8	8	7	6	6	6	7	7	6	6	6	6	5	7	7	7	5	5	5	6	4	8	8	5	1	1	0	4	4	3	3	2	3	3	8	8	8	7	7	7	7	7	7	7	7	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	7	8	8	592
OG0000001	7	6	6	6	7	7	6	7	6	7	7	7	7	7	6	6	6	6	6	8	8	4	4	5	8	5	8	6	8	4	8	8	7	5	4	7	4	7	9	8	8	2	4	2	4	2	4	3	3	3	3	6	7	6	7	7	7	7	7	7	7	7	7	6	7	7	7	6	6	6	7	6	6	6	6	6	6	7	6	6	7	6	6	9	7	7	8	6	541
OG0000002	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	8	6	6	6	6	6	6	1	3	2	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	516
OG0000003	4	3	3	3	4	4	3	4	3	4	4	4	4	4	3	3	3	3	3	4	4	2	3	3	4	3	4	3	3	3	4	4	4	3	3	4	3	4	4	4	4	0	2	2	3	3	3	3	3	3	2	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4	3	3	3	4	3	3	3	3	3	3	4	3	3	4	3	3	4	4	4	4	3	299
OG0000004	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	3	3	3	1	3	2	3	3	2	2	2	3	2	3	2	2	2	1	4	4	2	0	1	1	2	1	1	1	2	1	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	291
OG0000005	2	3	3	3	4	3	3	4	3	4	4	4	4	4	3	3	3	3	3	4	4	3	3	2	3	1	3	1	3	3	5	3	4	1	2	3	3	4	4	4	4	2	2	1	3	1	3	1	2	1	1	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4	3	3	3	4	3	3	3	3	3	3	4	3	2	4	3	3	1	4	4	2	3	273
OG0000006	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	3	2	3	2	3	3	2	3	2	2	2	3	3	3	1	0	3	2	2	1	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	244
OG0000007	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	2	3	1	3	3	2	3	2	3	3	1	1	0	0	0	0	0	0	0	0	1	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	226
OG0000008	2	3	3	3	3	2	2	3	2	3	3	3	3	3	3	2	2	2	2	3	3	2	3	3	3	2	2	2	3	3	3	3	3	3	2	3	2	2	3	3	3	1	2	0	2	2	2	3	2	2	3	3	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	2	2	3	3	2	2	2	2	3	2	2	2	3	3	2	2	3	3	2	3	3	218
OG0000009	3	2	2	2	2	3	2	3	2	3	3	3	3	3	2	2	2	2	2	3	3	2	1	2	3	2	3	0	3	1	2	3	3	2	0	3	1	3	2	2	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	2	0	1	2	3	1	2	1	2	2	1	3	1	2	3	1	1	3	3	3	4	2	208
OG0000010	3	2	2	2	3	3	2	3	2	3	3	3	3	3	2	2	2	2	2	3	3	1	1	2	3	2	3	1	2	1	3	3	3	2	1	3	1	3	3	3	3	0	1	1	2	2	2	2	2	1	1	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	2	2	2	3	2	2	2	2	2	2	3	2	2	3	2	2	3	4	3	2	2	206
OG0000011	3	2	2	2	3	3	2	3	2	3	3	3	3	3	2	2	2	2	2	3	3	2	2	2	3	2	3	2	3	2	3	3	2	2	2	2	2	3	3	3	2	0	0	0	1	1	1	1	1	1	1	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	2	2	2	3	2	2	2	2	2	2	3	2	2	3	2	2	5	3	3	3	2	205
OG0000012	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	1	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	204
OG0000013	2	3	3	3	2	2	3	2	3	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	4	2	2	2	2	2	2	4	4	2	2	3	2	1	2	2	3	0	0	0	0	0	0	1	0	0	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	3	3	3	2	3	3	3	3	3	3	2	3	3	2	3	3	2	2	2	2	3	191
OG0000014	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	180
OG0000015	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	176
OG0000016	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	175
