	GCF_000185885.1_ASM18588v1_genomic	GCF_000189495.1_ASM18949v1_genomic	GCF_000478385.1_MRSP_E140_v1.0_genomic	GCF_001622945.1_ASM162294v1_genomic	GCF_001622965.1_ASM162296v1_genomic	GCF_001623005.1_ASM162300v1_genomic	GCF_001682335.1_ASM168233v1_genomic	GCF_001682435.2_ASM168243v2_genomic	GCF_001685665.2_ASM168566v2_genomic	GCF_001792775.2_ASM179277v2_genomic	GCF_001940385.1_ASM194038v1_genomic	GCF_002362305.1_ASM236230v1_genomic	GCF_002362325.1_ASM236232v1_genomic	GCF_002366355.1_ASM236635v1_genomic	GCF_002366365.1_ASM236636v1_genomic	GCF_002366375.1_ASM236637v1_genomic	GCF_002366395.1_ASM236639v1_genomic	GCF_002766935.1_ASM276693v1_genomic	GCF_002766945.1_ASM276694v1_genomic	GCF_002766955.1_ASM276695v1_genomic	GCF_002766965.1_ASM276696v1_genomic	GCF_002767065.1_ASM276706v1_genomic	GCF_002767115.1_ASM276711v1_genomic	GCF_002767135.1_ASM276713v1_genomic	GCF_002767145.1_ASM276714v1_genomic	GCF_002767245.1_ASM276724v1_genomic	GCF_002767295.1_ASM276729v1_genomic	GCF_002767355.1_ASM276735v1_genomic	GCF_002767365.1_ASM276736v1_genomic	GCF_002767445.1_ASM276744v1_genomic	GCF_002767475.1_ASM276747v1_genomic	GCF_002767495.1_ASM276749v1_genomic	GCF_002767615.1_ASM276761v1_genomic	GCF_002767625.1_ASM276762v1_genomic	GCF_002767705.1_ASM276770v1_genomic	GCF_002767765.1_ASM276776v1_genomic	GCF_002767805.1_ASM276780v1_genomic	GCF_002767815.1_ASM276781v1_genomic	GCF_002767885.1_ASM276788v1_genomic	GCF_002767915.1_ASM276791v1_genomic	GCF_002767925.1_ASM276792v1_genomic	GCF_002767945.1_ASM276794v1_genomic	GCF_002767985.1_ASM276798v1_genomic	GCF_002768035.1_ASM276803v1_genomic	GCF_002768045.1_ASM276804v1_genomic	GCF_002768095.1_ASM276809v1_genomic	GCF_002768215.1_ASM276821v1_genomic	GCF_002768275.1_ASM276827v1_genomic	GCF_002768335.1_ASM276833v1_genomic	GCF_002768345.1_ASM276834v1_genomic	GCF_002768355.1_ASM276835v1_genomic	GCF_002768365.1_ASM276836v1_genomic	GCF_002768435.1_ASM276843v1_genomic	GCF_002768455.1_ASM276845v1_genomic	GCF_002847165.1_ASM284716v1_genomic	GCF_002847175.1_ASM284717v1_genomic	GCF_002847225.2_ASM284722v2_genomic	GCF_002847235.2_ASM284723v2_genomic	GCF_002847265.1_ASM284726v2_genomic	GCF_002902125.1_ASM290212v1_genomic	GCF_002922545.1_ASM292254v1_genomic	GCF_002922555.1_ASM292255v1_genomic	GCF_002922565.1_ASM292256v1_genomic	GCF_002922625.1_ASM292262v1_genomic	GCF_002922635.1_ASM292263v1_genomic	GCF_002922675.1_ASM292267v1_genomic	GCF_002922705.1_ASM292270v1_genomic	GCF_002976235.1_ASM297623v1_genomic	GCF_002976255.1_ASM297625v1_genomic	GCF_003185065.1_ASM318506v1_genomic	GCF_003185075.1_ASM318507v1_genomic	GCF_003185095.1_ASM318509v1_genomic	GCF_003185105.1_ASM318510v1_genomic	GCF_003185145.1_ASM318514v1_genomic	GCF_003185175.1_ASM318517v1_genomic	GCF_003185195.1_ASM318519v1_genomic	GCF_003185215.1_ASM318521v1_genomic	GCF_003185255.1_ASM318525v1_genomic	GCF_003185295.1_ASM318529v1_genomic	GCF_003185305.1_ASM318530v1_genomic	GCF_003185325.1_ASM318532v1_genomic	GCF_003185365.1_ASM318536v1_genomic	GCF_003185395.1_ASM318539v1_genomic	GCF_003185445.1_ASM318544v1_genomic	GCF_003185455.1_ASM318545v1_genomic	GCF_003185465.1_ASM318546v1_genomic	GCF_003185485.1_ASM318548v1_genomic	GCF_003185525.1_ASM318552v1_genomic	GCF_003185535.1_ASM318553v1_genomic	GCF_003185565.1_ASM318556v1_genomic	GCF_003185605.1_ASM318560v1_genomic	GCF_003185815.1_ASM318581v1_genomic	GCF_003383685.1_ASM338368v1_genomic	GCF_003383805.1_ASM338380v1_genomic	GCF_003383845.1_ASM338384v1_genomic	GCF_003383875.1_ASM338387v1_genomic	GCF_003383915.1_ASM338391v1_genomic	GCF_003383925.1_ASM338392v1_genomic	GCF_003383985.1_ASM338398v1_genomic	GCF_003383995.1_ASM338399v1_genomic	Total
OG0000000	3	2	4	3	3	3	3	4	3	3	4	4	4	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	3	3	4	3	3	3	4	4	4	3	3	4	3	3	3	3	3	3	3	3	3	4	2	3	3	3	3	3	4	3	4	3	4	3	4	3	3	4	2	3	2	3	2	4	1	1	2	3	4	3	3	1	2	3	3	4	2	0	3	2	3	3	3	1	3	3	3	3	316
OG0000001	4	3	3	4	3	3	4	3	3	1	3	4	4	4	4	4	4	3	3	4	3	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	1	3	4	3	4	3	4	3	4	4	3	4	4	3	1	4	2	2	2	2	4	4	3	4	3	2	3	4	3	1	2	4	1	4	4	3	0	4	3	4	3	316
OG0000002	3	2	6	1	2	1	3	5	5	1	5	4	2	1	1	2	2	5	4	1	5	4	5	4	4	0	4	5	1	4	5	4	3	2	5	2	1	3	5	5	5	0	3	5	3	3	2	4	3	3	0	2	4	2	1	1	2	3	1	1	5	2	5	3	4	2	5	3	2	1	1	2	2	1	2	2	1	0	1	2	1	3	1	4	1	0	0	3	2	1	4	1	2	2	3	3	3	2	2	2	261
OG0000003	2	4	3	3	3	2	4	3	3	1	3	3	4	4	4	4	4	4	3	1	4	3	3	3	3	3	4	4	2	3	3	4	2	2	3	3	3	2	4	4	3	3	2	4	2	2	2	3	3	2	2	2	3	1	2	3	0	4	1	1	4	4	3	4	3	4	4	5	4	0	0	5	0	0	1	0	1	0	0	3	2	2	1	1	0	1	0	0	2	1	1	1	1	2	2	3	1	3	1	3	242
OG0000004	2	2	3	2	2	2	2	4	4	2	4	4	3	3	3	3	3	3	3	2	3	2	3	3	4	2	3	3	0	5	5	1	3	2	4	1	1	3	4	4	5	2	2	4	2	0	1	0	1	1	1	1	3	0	2	1	2	3	2	2	4	3	4	2	4	3	4	2	3	2	0	0	1	1	1	2	1	0	0	2	0	2	0	2	2	1	1	2	1	2	1	1	1	2	1	2	0	2	1	4	214
OG0000005	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	199
OG0000006	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	195
OG0000007	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	188
OG0000008	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	0	2	2	1	2	1	2	2	1	1	2	1	2	1	1	2	1	1	1	1	1	2	176
OG0000009	3	1	2	2	2	1	2	3	0	1	3	2	2	1	1	1	2	3	2	1	3	2	3	2	2	1	3	3	1	3	3	2	1	1	3	1	1	1	2	3	3	1	1	3	1	1	1	2	1	1	2	0	2	2	0	0	1	2	0	1	3	1	3	2	2	1	3	2	1	3	1	2	2	2	1	2	1	1	1	1	1	2	2	3	1	1	1	2	1	1	2	1	2	1	1	2	1	2	2	0	165
