	REGION	REGION_LENGTH	COMPLETENESS(score)	SPECIFIC_KEYWORD	REGION_POSITION	TRNA_NUM	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	HYPOTHETICAL_PROTEIN_NUM	PHAGE+HYPO_PROTEIN_PERCENTAGE	BACTERIAL_PROTEIN_NUM	ATT_SITE_SHOWUP	PHAGE_SPECIES_NUM	MOST_COMMON_PHAGE_NAME(hit_genes_count)	FIRST_MOST_COMMON_PHAGE_NUM	FIRST_MOST_COMMON_PHAGE_PERCENTAGE	GC_PERCENTAGE	
	1	26.5Kb	questionable(80)	integrase,tail,transposase	291210-317713	0	19	17	1	94.7%	1	yes	10	PHAGE_Entero_lambda_NC_001416(6),PHAGE_Entero_SfI_NC_027339(5),PHAGE_Escher_pro483_NC_028943(4),PHAGE_Shigel_SfIV_NC_022749(3),PHAGE_Salmon_SEN34_NC_028699(3),PHAGE_Entero_HK633_NC_019719(3),PHAGE_Entero_HK97_NC_002167(3),PHAGE_Entero_c_1_NC_019706(3),PHAGE_Entero_mEp213_NC_019720(3),PHAGE_Entero_HK106_NC_019768(2),PHAGE_Entero_SfV_NC_003444(2),PHAGE_Entero_BP_4795_NC_004813(2),PHAGE_Entero_HK544_NC_019767(2),PHAGE_Entero_mEp234_NC_019715(2),PHAGE_Entero_HK140_NC_019710(2),PHAGE_Shigel_SfII_NC_021857(2),PHAGE_Escher_D108_NC_013594(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Entero_Mu_NC_000929(1),PHAGE_Klebsi_vB_KpnM_KpV477_NC_031087(1),PHAGE_Klebsi_PKO111_NC_031095(1),PHAGE_Pseudo_OBP_NC_016571(1),PHAGE_Entero_HK542_NC_019769(1),PHAGE_Erwini_ENT90_NC_019932(1),PHAGE_Entero_P1_NC_005856(1),PHAGE_Entero_933W_NC_000924(1),PHAGE_Entero_Sf101_NC_027398(1),PHAGE_Edward_MSW_3_NC_020082(1),PHAGE_Salmon_ST160_NC_014900(1),PHAGE_Entero_UAB_Phi20_NC_031019(1),PHAGE_Edward_PEi21_NC_021342(1),PHAGE_Salmon_Fels_2_NC_010463(1),PHAGE_Burkho_phiE202_NC_009234(1)	5	31.57%	45.57%	
	2	36.1Kb	intact(150)	lysin,terminase,portal,protease,tail	892240-928363	0	48	41	5	95.8%	2	no	13	PHAGE_Entero_cdtI_NC_009514(21),PHAGE_Entero_mEp460_NC_019716(20),PHAGE_Salmon_Fels_1_NC_010391(10),PHAGE_Entero_lambda_NC_001416(9),PHAGE_Phage_Gifsy_1_NC_010392(9),PHAGE_Entero_c_1_NC_019706(9),PHAGE_Stx2_c_1717_NC_011357(8),PHAGE_Phage_Gifsy_2_NC_010393(8),PHAGE_Entero_mEp213_NC_019720(8),PHAGE_Stx2_II_NC_004914(7),PHAGE_Stx2_vB_EcoP_24B_NC_027984(6),PHAGE_Entero_BP_4795_NC_004813(6),PHAGE_Entero_HK630_NC_019723(6),PHAGE_Entero_HK629_NC_019711(5),PHAGE_Entero_VT2_Sakai_NC_000902(5),PHAGE_Shigel_Sf6_NC_005344(4),PHAGE_Entero_933W_NC_000924(4),PHAGE_Entero_HK106_NC_019768(3),PHAGE_Entero_SfI_NC_027339(3),PHAGE_Escher_phage_NC_004913(3),PHAGE_Entero_Min27_NC_010237(2),PHAGE_Entero_HK544_NC_019767(2),PHAGE_Entero_YYZ_2008_NC_011356(2),PHAGE_Salmon_SEN22_NC_028696(2),PHAGE_Salmon_SE1_NC_011802(1),PHAGE_Entero_HK446_NC_019714(1),PHAGE_Salmon_ST64B_NC_004313(1),PHAGE_Entero_mEp235_NC_019708(1),PHAGE_Klebsi_phiKO2_NC_005857(1),PHAGE_Salmon_118970_sal4_NC_030919(1),PHAGE_Entero_HK022_NC_002166(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Entero_mEp234_NC_019715(1),PHAGE_Entero_HK140_NC_019710(1),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(1),PHAGE_Cronob_phiES15_NC_018454(1),PHAGE_Salmon_SPN3UB_NC_019545(1),PHAGE_Escher_HK75_NC_016160(1),PHAGE_Entero_N15_NC_001901(1),PHAGE_Entero_HK97_NC_002167(1),PHAGE_Salmon_g341c_NC_013059(1),PHAGE_Salmon_vB_SemP_Emek_NC_018275(1),PHAGE_Entero_Sf101_NC_027398(1),PHAGE_Erwini_PEp14_NC_016767(1),PHAGE_Pseudo_F10_NC_007805(1),PHAGE_Salmon_SPN9CC_NC_017985(1),PHAGE_Escher_Pollock_NC_027381(1),PHAGE_Entero_ST104_NC_005841(1),PHAGE_Yersin_PY54_NC_005069(1),PHAGE_Salmon_epsilon34_NC_011976(1)	22	43.75%	49.77%	
	3	26.6Kb	incomplete(10)	NA	1159810-1186416	0	34	19	13	94.1%	2	yes	13	PHAGE_Shigel_POCJ13_NC_025434(6),PHAGE_Shigel_Stx_NC_029120(6),PHAGE_Entero_mEp237_NC_019704(5),PHAGE_Salmon_SPN3UB_NC_019545(4),PHAGE_Phage_Gifsy_2_NC_010393(4),PHAGE_Salmon_118970_sal3_NC_031940(4),PHAGE_Entero_SfV_NC_003444(3),PHAGE_Phage_Gifsy_1_NC_010392(3),PHAGE_Entero_mEp460_NC_019716(3),PHAGE_Salmon_ST64B_NC_004313(2),PHAGE_Entero_Min27_NC_010237(2),PHAGE_Entero_phiP27_NC_003356(2),PHAGE_Stx2_II_NC_004914(2),PHAGE_Entero_cdtI_NC_009514(2),PHAGE_Escher_P13374_NC_018846(2),PHAGE_Escher_phage_NC_004913(2),PHAGE_Escher_HK639_NC_016158(1),PHAGE_Escher_PA2_NC_028449(1),PHAGE_Shigel_SfIV_NC_022749(1),PHAGE_Shigel_Ss_VASD_NC_028685(1),PHAGE_Entero_BP_4795_NC_004813(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Pectob_ZF40_NC_019522(1),PHAGE_Cronob_phiES15_NC_018454(1),PHAGE_Escher_HK75_NC_016160(1),PHAGE_Entero_HK633_NC_019719(1),PHAGE_Salico_CGphi29_NC_020844(1),PHAGE_Salmon_SEN34_NC_028699(1),PHAGE_Entero_HK225_NC_019717(1),PHAGE_Entero_933W_NC_000924(1),PHAGE_Salmon_HK620_NC_002730(1),PHAGE_Podovi_Lau218_NC_024329(1),PHAGE_Entero_YYZ_2008_NC_011356(1),PHAGE_Escher_TL_2011c_NC_019442(1),PHAGE_Yersin_PY54_NC_005069(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Entero_VT2_Sakai_NC_000902(1)	4	17.64%	47.14%	
	4	28.9Kb	intact(150)	transposase,lysin,capsid,head,tail	1180157-1209126	0	37	32	5	100%	0	no	13	PHAGE_Entero_lambda_NC_001416(12),PHAGE_Entero_BP_4795_NC_004813(12),PHAGE_Stx2_c_1717_NC_011357(11),PHAGE_Entero_YYZ_2008_NC_011356(10),PHAGE_Entero_HK629_NC_019711(9),PHAGE_Entero_HK630_NC_019723(9),PHAGE_Entero_N15_NC_001901(6),PHAGE_Phage_Gifsy_1_NC_010392(5),PHAGE_Entero_cdtI_NC_009514(5),PHAGE_Stx2_c_86_NC_008464(4),PHAGE_Entero_VT2phi_272_NC_028656(4),PHAGE_Entero_mEp237_NC_019704(4),PHAGE_Entero_HK225_NC_019717(4),PHAGE_Entero_933W_NC_000924(3),PHAGE_Stx2_vB_EcoP_24B_NC_027984(3),PHAGE_Stx2_II_NC_004914(3),PHAGE_Entero_phi80_NC_021190(3),PHAGE_Phage_Gifsy_2_NC_010393(2),PHAGE_Escher_PA2_NC_028449(2),PHAGE_Entero_mEp460_NC_019716(2),PHAGE_Salmon_Fels_1_NC_010391(2),PHAGE_Entero_VT2_Sakai_NC_000902(2),PHAGE_Escher_phage_NC_004913(2),PHAGE_Entero_c_1_NC_019706(1),PHAGE_Escher_TL_2011c_NC_019442(1),PHAGE_Escher_Pollock_NC_027381(1),PHAGE_Pseudo_MD8_NC_031091(1),PHAGE_Escher_phi191_NC_028660(1),PHAGE_Shigel_Stx_NC_029120(1)	12	32.43%	54.70%	
	5	70.4Kb	intact(131)	integrase,transposase,lysis,tail	1245903-1316397	3	93	92	0	98.9%	1	yes	13	PHAGE_Stx2_II_NC_004914(79),PHAGE_Entero_VT2_Sakai_NC_000902(73),PHAGE_Entero_933W_NC_000924(53),PHAGE_Escher_phage_NC_004913(45),PHAGE_Stx2_vB_EcoP_24B_NC_027984(40),PHAGE_Entero_Min27_NC_010237(36),PHAGE_Entero_VT2phi_272_NC_028656(17),PHAGE_Stx2_c_1717_NC_011357(17),PHAGE_Escher_P13374_NC_018846(12),PHAGE_Entero_YYZ_2008_NC_011356(10),PHAGE_Stx2_c_86_NC_008464(9),PHAGE_Escher_PA2_NC_028449(7),PHAGE_Entero_BP_4795_NC_004813(7),PHAGE_Shigel_Stx_NC_029120(4),PHAGE_Escher_TL_2011c_NC_019442(3),PHAGE_Entero_mEp235_NC_019708(2),PHAGE_Shigel_Ss_VASD_NC_028685(2),PHAGE_Entero_lambda_NC_001416(2),PHAGE_Entero_mEp234_NC_019715(2),PHAGE_Entero_Sf101_NC_027398(2),PHAGE_Salmon_HK620_NC_002730(2),PHAGE_Entero_SfI_NC_027339(2),PHAGE_Entero_cdtI_NC_009514(2),PHAGE_Entero_Tyrion_NC_031077(1),PHAGE_Entero_HK629_NC_019711(1),PHAGE_Entero_HK544_NC_019767(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Clostr_c_st_NC_007581(1),PHAGE_Entero_HK633_NC_019719(1),PHAGE_Shigel_POCJ13_NC_025434(1),PHAGE_Entero_c_1_NC_019706(1),PHAGE_Escher_phiV10_NC_007804(1),PHAGE_Salmon_SEN22_NC_028696(1),PHAGE_Escher_phi191_NC_028660(1),PHAGE_Entero_HK630_NC_019723(1),PHAGE_Entero_mEpX2_NC_019705(1)	73	84.94%	50.37%	
	6	53.1Kb	intact(150)	integrase,lysin,terminase,head,portal,tail	1538645-1591830	0	63	54	5	93.6%	4	yes	27	PHAGE_Entero_BP_4795_NC_004813(23),PHAGE_Entero_YYZ_2008_NC_011356(21),PHAGE_Stx2_c_1717_NC_011357(18),PHAGE_Stx2_II_NC_004914(8),PHAGE_Entero_VT2_Sakai_NC_000902(8),PHAGE_Escher_phage_NC_004913(7),PHAGE_Entero_mEp460_NC_019716(6),PHAGE_Entero_Min27_NC_010237(6),PHAGE_Stx2_vB_EcoP_24B_NC_027984(5),PHAGE_Entero_mEp237_NC_019704(4),PHAGE_Entero_933W_NC_000924(4),PHAGE_Entero_mEpX1_NC_019709(3),PHAGE_Entero_HK225_NC_019717(3),PHAGE_Shigel_POCJ13_NC_025434(3),PHAGE_Phage_Gifsy_2_NC_010393(3),PHAGE_Salmon_118970_sal3_NC_031940(3),PHAGE_Escher_HK639_NC_016158(3),PHAGE_Entero_HK446_NC_019714(3),PHAGE_Shigel_Ss_VASD_NC_028685(3),PHAGE_Stx2_c_86_NC_008464(3),PHAGE_Escher_phiV10_NC_007804(3),PHAGE_Escher_TL_2011c_NC_019442(3),PHAGE_Escher_P13374_NC_018846(3),PHAGE_Shigel_Stx_NC_029120(3),PHAGE_Microc_MaMV_DC_NC_029002(2),PHAGE_Entero_phi80_NC_021190(2),PHAGE_Entero_HK542_NC_019769(2),PHAGE_Escher_HK75_NC_016160(2),PHAGE_Entero_HK97_NC_002167(2),PHAGE_Salmon_HK620_NC_002730(2),PHAGE_Salmon_SJ46_NC_031129(2),PHAGE_Salmon_SE1_NC_011802(2),PHAGE_Salmon_118970_sal4_NC_030919(2),PHAGE_Entero_lambda_NC_001416(2),PHAGE_Entero_HK106_NC_019768(2),PHAGE_Entero_mEp390_NC_019721(2),PHAGE_Entero_HK544_NC_019767(2),PHAGE_Entero_HK633_NC_019719(2),PHAGE_Pseudo_PAJU2_NC_011373(2),PHAGE_Salmon_ST160_NC_014900(2),PHAGE_Yersin_PY54_NC_005069(2),PHAGE_Burkho_Bcep176_NC_007497(2),PHAGE_Escher_phi191_NC_028660(2),PHAGE_Entero_HK630_NC_019723(2),PHAGE_Salmon_epsilon34_NC_011976(2),PHAGE_Cronob_vB_CsaM_GAP32_NC_019401(1),PHAGE_Salmon_103203_sal5_NC_031946(1),PHAGE_Escher_PA2_NC_028449(1),PHAGE_Entero_mEp235_NC_019708(1),PHAGE_Xantho_phiL7_NC_012742(1),PHAGE_Shewan_1/41_NC_025458(1),PHAGE_Escher_TL_2011b_NC_019445(1),PHAGE_Haemop_Aaphi23_NC_004827(1),PHAGE_Entero_HK629_NC_019711(1),PHAGE_Vibrio_nt_1_NC_021529(1),PHAGE_Entero_mEp234_NC_019715(1),PHAGE_Bacill_PM1_NC_020883(1),PHAGE_Cronob_phiES15_NC_018454(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Salmon_SPN3UB_NC_019545(1),PHAGE_Salmon_II_E1_NC_010495(1),PHAGE_Entero_N15_NC_001901(1),PHAGE_Xantho_OP1_NC_007709(1),PHAGE_Entero_Sf101_NC_027398(1),PHAGE_Cronob_ENT39118_NC_019934(1),PHAGE_Entero_cdtI_NC_009514(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Escher_4_NC_027364(1),PHAGE_Pseudo_phi2_NC_030931(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Lister_LMSP_25_NC_024360(1),PHAGE_Salmon_SPN1S_NC_016761(1),PHAGE_Entero_ES18_NC_006949(1),PHAGE_Escher_121Q_NC_025447(1),PHAGE_Entero_Tyrion_NC_031077(1),PHAGE_Aeromo_vB_AsaM_56_NC_019527(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Shigel_SfIV_NC_022749(1),PHAGE_Klebsi_phiKO2_NC_005857(1),PHAGE_Vibrio_VH7D_NC_023568(1),PHAGE_Entero_HK022_NC_002166(1),PHAGE_Pseudo_DMS3_NC_008717(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Pseudo_MP42_NC_018274(1),PHAGE_Staphy_vB_SauM_Remus_NC_022090(1),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(1),PHAGE_Pectob_ZF40_NC_019522(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Salico_CGphi29_NC_020844(1),PHAGE_Rhodob_RcapNL_NC_020489(1),PHAGE_Salmon_vB_SemP_Emek_NC_018275(1),PHAGE_Staphy_vB_SauM_Romulus_NC_020877(1),PHAGE_Salmon_IME207_NC_031924(1),PHAGE_Entero_UAB_Phi20_NC_031019(1),PHAGE_Salmon_SEN22_NC_028696(1),PHAGE_Aggreg_S1249_NC_013597(1)	22	36.5%	49.30%	
	7	37.5Kb	intact(110)	transposase,integrase,capsid,head,portal,terminase	1586046-1623575	0	35	19	14	94.2%	2	yes	17	PHAGE_Salmon_ST64B_NC_004313(4),PHAGE_Salmon_118970_sal3_NC_031940(4),PHAGE_Shigel_SfIV_NC_022749(3),PHAGE_Shigel_SfII_NC_021857(3),PHAGE_Entero_SfV_NC_003444(2),PHAGE_Geobac_E2_NC_009552(2),PHAGE_Psychr_Psymv2_NC_023734(2),PHAGE_Entero_P4_NC_001609(1),PHAGE_Bacill_WBeta_NC_007734(1),PHAGE_Entero_HK446_NC_019714(1),PHAGE_Xantho_Xp10_NC_004902(1),PHAGE_Xantho_phiL7_NC_012742(1),PHAGE_Staphy_StB20_like_NC_028821(1),PHAGE_Entero_mEpX1_NC_019709(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Entero_HK544_NC_019767(1),PHAGE_Entero_SANTOR1_NC_031051(1),PHAGE_Phage_Gifsy_1_NC_010392(1),PHAGE_Entero_EFAP_1_NC_012419(1),PHAGE_Pseudo_MD8_NC_031091(1),PHAGE_Salmon_Fels_1_NC_010391(1),PHAGE_Entero_HK542_NC_019769(1),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Bacill_phIS3501_NC_019502(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Entero_IME_EF4_NC_023551(1),PHAGE_Entero_mEp237_NC_019704(1),PHAGE_Escher_HK75_NC_016160(1),PHAGE_Entero_HK225_NC_019717(1),PHAGE_Brucel_BiPBO1_NC_031264(1),PHAGE_Burkho_KL3_NC_015266(1),PHAGE_Entero_HK97_NC_002167(1),PHAGE_Bacill_Gamma_NC_007458(1),PHAGE_Staphy_23MRA_NC_028775(1),PHAGE_Entero_EfaCPT1_NC_025465(1),PHAGE_Stenot_S1_NC_011589(1),PHAGE_Bacill_phi105_NC_004167(1),PHAGE_Brevib_Jenst_NC_028805(1),PHAGE_Strept_9874_NC_031023(1),PHAGE_Plankt_PaV_LD_NC_016564(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Staphy_Ipla88_NC_011614(1)	2	11.42%	49.05%	
	8	50.9Kb	intact(150)	integrase,lysis,envelope,head,capsid,tail,fiber	1615552-1666524	0	45	42	1	95.5%	2	yes	14	PHAGE_Entero_lambda_NC_001416(28),PHAGE_Entero_HK629_NC_019711(26),PHAGE_Entero_HK630_NC_019723(24),PHAGE_Entero_mEp237_NC_019704(11),PHAGE_Entero_HK225_NC_019717(11),PHAGE_Entero_N15_NC_001901(7),PHAGE_Entero_phi80_NC_021190(6),PHAGE_Entero_BP_4795_NC_004813(6),PHAGE_Entero_933W_NC_000924(6),PHAGE_Entero_cdtI_NC_009514(6),PHAGE_Entero_HK140_NC_019710(4),PHAGE_Entero_mEp460_NC_019716(4),PHAGE_Cronob_phiES15_NC_018454(3),PHAGE_Entero_YYZ_2008_NC_011356(3),PHAGE_Entero_SfI_NC_027339(3),PHAGE_Entero_mEp235_NC_019708(2),PHAGE_Salmon_118970_sal4_NC_030919(2),PHAGE_Stx2_c_1717_NC_011357(2),PHAGE_Entero_c_1_NC_019706(2),PHAGE_Salmon_ST64T_NC_004348(2),PHAGE_Escher_HK639_NC_016158(1),PHAGE_Acinet_Acj61_NC_014661(1),PHAGE_Entero_HK446_NC_019714(1),PHAGE_Burkho_Bcep22_NC_005262(1),PHAGE_Vibrio_KVP40_NC_005083(1),PHAGE_Stx2_vB_EcoP_24B_NC_027984(1),PHAGE_Serrat_Eta_NC_021563(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Klebsi_phiKO2_NC_005857(1),PHAGE_Vibrio_VH7D_NC_023568(1),PHAGE_Entero_HK106_NC_019768(1),PHAGE_Entero_HK022_NC_002166(1),PHAGE_Serrat_PS2_NC_024121(1),PHAGE_Phage_Gifsy_1_NC_010392(1),PHAGE_Vibrio_VvAW1_NC_020488(1),PHAGE_Salmon_Fels_1_NC_010391(1),PHAGE_Vibrio_PVA1_NC_023605(1),PHAGE_Escher_HK75_NC_016160(1),PHAGE_Acinet_ZZ1_NC_018087(1),PHAGE_Acinet_Acj9_NC_014663(1),PHAGE_Geobac_E3_NC_029073(1),PHAGE_Phage_Gifsy_2_NC_010393(1),PHAGE_Strept_YDN12_NC_028974(1),PHAGE_Entero_Sf101_NC_027398(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Edward_GF_2_NC_026611(1),PHAGE_Salmon_ST160_NC_014900(1),PHAGE_Yersin_PY54_NC_005069(1),PHAGE_Burkho_Bcep176_NC_007497(1),PHAGE_Cronob_ENT47670_NC_019927(1),PHAGE_Salmon_SEN22_NC_028696(1),PHAGE_Pseudo_phi2_NC_030931(1),PHAGE_Paenib_Xenia_NC_028837(1),PHAGE_Strept_SF3_NC_028952(1),PHAGE_Entero_ES18_NC_006949(1)	28	62.22%	50.36%	
	9	57.2Kb	intact(150)	integrase,lysin,terminase,head,portal,tail,transposase	1757549-1814804	2	72	53	13	91.6%	6	yes	17	PHAGE_Entero_BP_4795_NC_004813(27),PHAGE_Entero_YYZ_2008_NC_011356(26),PHAGE_Stx2_c_1717_NC_011357(24),PHAGE_Entero_cdtI_NC_009514(7),PHAGE_Entero_933W_NC_000924(6),PHAGE_Stx2_vB_EcoP_24B_NC_027984(5),PHAGE_Stx2_II_NC_004914(5),PHAGE_Entero_mEp460_NC_019716(5),PHAGE_Entero_VT2_Sakai_NC_000902(4),PHAGE_Entero_HK446_NC_019714(3),PHAGE_Entero_lambda_NC_001416(3),PHAGE_Entero_mEp390_NC_019721(3),PHAGE_Entero_phiP27_NC_003356(3),PHAGE_Escher_HK75_NC_016160(3),PHAGE_Stx2_c_86_NC_008464(3),PHAGE_Salmon_118970_sal3_NC_031940(3),PHAGE_Burkho_Bcep176_NC_007497(3),PHAGE_Escher_phage_NC_004913(3),PHAGE_Entero_Min27_NC_010237(2),PHAGE_Escher_PA2_NC_028449(2),PHAGE_Entero_HK106_NC_019768(2),PHAGE_Entero_mEpX1_NC_019709(2),PHAGE_Entero_SfV_NC_003444(2),PHAGE_Entero_HK544_NC_019767(2),PHAGE_Pectob_ZF40_NC_019522(2),PHAGE_Cronob_phiES15_NC_018454(2),PHAGE_Entero_mEp237_NC_019704(2),PHAGE_Pseudo_PAJU2_NC_011373(2),PHAGE_Phage_Gifsy_2_NC_010393(2),PHAGE_Escher_phiV10_NC_007804(2),PHAGE_Escher_TL_2011c_NC_019442(2),PHAGE_Entero_UAB_Phi20_NC_031019(2),PHAGE_Entero_ES18_NC_006949(2),PHAGE_Escher_HK639_NC_016158(1),PHAGE_Entero_Tyrion_NC_031077(1),PHAGE_Entero_P22_NC_002371(1),PHAGE_Salmon_ST64B_NC_004313(1),PHAGE_Shigel_SfIV_NC_022749(1),PHAGE_Entero_mEp235_NC_019708(1),PHAGE_Klebsi_phiKO2_NC_005857(1),PHAGE_Shigel_Ss_VASD_NC_028685(1),PHAGE_Xantho_phiL7_NC_012742(1),PHAGE_Escher_TL_2011b_NC_019445(1),PHAGE_Entero_HK022_NC_002166(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Entero_mEp234_NC_019715(1),PHAGE_Pseudo_MD8_NC_031091(1),PHAGE_Entero_HK542_NC_019769(1),PHAGE_Bacill_PM1_NC_020883(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Salmon_SPN3UB_NC_019545(1),PHAGE_Entero_HK633_NC_019719(1),PHAGE_Entero_HK225_NC_019717(1),PHAGE_Rhodob_RcapNL_NC_020489(1),PHAGE_Shigel_POCJ13_NC_025434(1),PHAGE_Entero_HK97_NC_002167(1),PHAGE_Xantho_OP1_NC_007709(1),PHAGE_Salmon_HK620_NC_002730(1),PHAGE_Cronob_ENT39118_NC_019934(1),PHAGE_Yersin_PY54_NC_005069(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Entero_HK630_NC_019723(1),PHAGE_Escher_P13374_NC_018846(1),PHAGE_Shigel_Stx_NC_029120(1)	27	37.5%	50.48%	
	10	50.9Kb	intact(150)	integrase,lysin,terminase,head,portal,tail	1921441-1972367	3	68	56	10	97%	2	yes	22	PHAGE_Entero_YYZ_2008_NC_011356(28),PHAGE_Entero_BP_4795_NC_004813(27),PHAGE_Stx2_c_1717_NC_011357(22),PHAGE_Shigel_POCJ13_NC_025434(6),PHAGE_Phage_Gifsy_2_NC_010393(6),PHAGE_Entero_933W_NC_000924(6),PHAGE_Entero_VT2_Sakai_NC_000902(5),PHAGE_Stx2_vB_EcoP_24B_NC_027984(5),PHAGE_Shigel_Stx_NC_029120(5),PHAGE_Salmon_SPN3UB_NC_019545(4),PHAGE_Escher_HK75_NC_016160(4),PHAGE_Stx2_II_NC_004914(4),PHAGE_Entero_mEp460_NC_019716(4),PHAGE_Entero_cdtI_NC_009514(4),PHAGE_Pseudo_PAJU2_NC_011373(4),PHAGE_Stx2_c_86_NC_008464(4),PHAGE_Phage_Gifsy_1_NC_010392(3),PHAGE_Entero_HK446_NC_019714(3),PHAGE_Entero_Min27_NC_010237(3),PHAGE_Salmon_Fels_1_NC_010391(3),PHAGE_Entero_mEp237_NC_019704(3),PHAGE_Entero_mEpX1_NC_019709(2),PHAGE_Cronob_phiES15_NC_018454(2),PHAGE_Salmon_118970_sal3_NC_031940(2),PHAGE_Escher_HK639_NC_016158(2),PHAGE_Erwini_phiEt88_NC_015295(2),PHAGE_Entero_lambda_NC_001416(2),PHAGE_Entero_mEp390_NC_019721(2),PHAGE_Entero_HK544_NC_019767(2),PHAGE_Pectob_ZF40_NC_019522(2),PHAGE_Escher_TL_2011c_NC_019442(2),PHAGE_Burkho_Bcep176_NC_007497(2),PHAGE_Mannhe_vB_MhS_587AP2_NC_028743(1),PHAGE_Escher_Av_05_NC_025830(1),PHAGE_Salmon_SP_076_NC_021782(1),PHAGE_Salmon_ST64B_NC_004313(1),PHAGE_Salmon_103203_sal5_NC_031946(1),PHAGE_Bacill_Fah_NC_007814(1),PHAGE_Thermu_P2345_NC_009803(1),PHAGE_Xantho_phiL7_NC_012742(1),PHAGE_Erwini_vB_EamM_Caitlin_NC_031120(1),PHAGE_Salmon_37_NC_029045(1),PHAGE_Escher_TL_2011b_NC_019445(1),PHAGE_Thermu_P7426_NC_009804(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Entero_mEp234_NC_019715(1),PHAGE_Klebsi_Matisse_NC_028750(1),PHAGE_Natria_PhiCh1_NC_004084(1),PHAGE_Thermu_OH2_NC_021784(1),PHAGE_Mycoba_Phayonce_NC_028796(1),PHAGE_Entero_HK542_NC_019769(1),PHAGE_Bacill_PM1_NC_020883(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Entero_HK225_NC_019717(1),PHAGE_Entero_N15_NC_001901(1),PHAGE_Xantho_OP1_NC_007709(1),PHAGE_Erwini_vB_EamM_ChrisDB_NC_031126(1),PHAGE_Bacill_1_NC_009737(1),PHAGE_Escher_Pollock_NC_027381(1),PHAGE_Xantho_CP2_NC_020205(1),PHAGE_Cronob_ENT39118_NC_019934(1),PHAGE_Salmon_SJ46_NC_031129(1),PHAGE_Salmon_ST64T_NC_004348(1),PHAGE_Entero_Tyrion_NC_031077(1),PHAGE_Shigel_Ss_VASD_NC_028685(1),PHAGE_Salmon_118970_sal4_NC_030919(1),PHAGE_Erwini_vB_EamM_Asesino_NC_031107(1),PHAGE_Entero_HK106_NC_019768(1),PHAGE_Entero_HK022_NC_002166(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(1),PHAGE_Salmon_SP_058_NC_021772(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Salico_CGphi29_NC_020844(1),PHAGE_Salmon_SEN34_NC_028699(1),PHAGE_Rhodob_RcapNL_NC_020489(1),PHAGE_Entero_P1_NC_005856(1),PHAGE_Salmon_vB_SemP_Emek_NC_018275(1),PHAGE_Salmon_g341c_NC_013059(1),PHAGE_Salmon_FSLSP030_NC_021779(1),PHAGE_Klebsi_KP27_NC_020080(1),PHAGE_Escher_phi191_NC_028660(1),PHAGE_Strept_O1205_NC_004303(1),PHAGE_Salmon_epsilon15_NC_004775(1),PHAGE_Geobac_GBSV1_NC_008376(1)	30	41.17%	50.53%	
