position	complexity
1071605	0.1
1070503	0.1
1069442	0.09545454545454546
1067736	0.0748663101604278
1066198	0.07107843137254902
1065124	0.07107843137254902
1063978	0.07107843137254902
1063228	0.029411764705882353
1062625	0.06512605042016806
1062311	0.06512605042016806
1061838	0.0984593837535014
1061154	0.06274509803921569
1060460	0.09399509803921569
1059133	0.12126782531194295
1057357	0.12126782531194295
1056273	0.02857142857142857
1055398	0.02857142857142857
1054162	0.02857142857142857
1052993	0
1052668	0.02564102564102564
1051359	0.07564102564102565
1050005	0.05
1049513	0.07500000000000001
1048252	0.07500000000000001
1046804	0.1
1046075	0.1
1044093	0.1
1043356	0.07500000000000001
1042330	0.025
1040383	0.025
1038356	0.07500000000000001
1036930	0.07500000000000001
1035956	0.07500000000000001
1035038	0.025
1034002	0.05
1032765	0.05
1032049	0.1
1030451	0.1
1028830	0.05
1027453	0
1025122	0
1023192	0
1022025	0
1020985	0
1019570	0.025
1018187	0.125
1017052	0.7500000000000003
1014267	1.15
1012458	0.6500000000000002
1011012	0
1010316	0.24999999999999997
1009455	0.24999999999999997
1008495	0.05
1006590	0.05
1004946	0
1004049	0.07500000000000001
1003405	0.1
1002665	0.05
1002012	0
1001367	0.025
1000292	0.025
999296	0.05
998450	0.025
997508	0.025
995855	0.1
994670	0.1
993826	0.07500000000000001
992132	0.05
990720	0
989853	0
989000	0
988242	0
987002	0
986309	0.05
984991	0.05
983305	0.05
982145	0.07500000000000001
981689	0.07500000000000001
980872	0.07500000000000001
979609	0
978367	0.125
976328	0.125
975086	0.37500000000000006
973936	0.4250000000000001
972827	0.27499999999999997
971936	0.15
970774	0.1
969789	0.07500000000000001
969435	0.07500000000000001
968663	0.05
967922	0.05
966763	0.025
965846	0
965398	0.025
964415	0.025
962941	0.025
962345	0.05
961589	0.025
960804	0.025
959678	0.05
958714	0.025
958162	0
957510	0
956992	0
956477	0
955551	0
954617	0
953943	0.025
952984	0.025
952021	0.07500000000000001
950587	0.15
948806	0.37500000000000006
947648	0.325
946759	0.47500000000000014
945847	0.8000000000000004
944616	0.9500000000000004
943263	0.2
941457	0.07500000000000001
939310	0.05
937530	0.025
935593	0.025
933488	0.025
931950	0.025
930447	0.07500000000000001
929472	0.125
927036	0.07500000000000001
925694	0.025
924609	0.025
922978	0.175
920712	0.24999999999999997
919778	0.2
918969	0.125
918102	0.025
917199	0.025
916494	0.025
915739	0
915008	0.025
913801	0.025
912786	0.05
911696	0.025
910501	0.025
909168	0.05
907485	0.05
906247	0.05
905331	0.05
904389	0.05
903613	0.05
902817	0.05
901763	0.025
901099	0.025
900419	0.025
899854	0.025
899466	0.025
898422	0.025
896598	0.025
895146	0.025
893902	0.025
893007	0.025
892527	0.025
891750	0.07500000000000001
890755	0.225
889978	0.175
889553	0.175
888707	0.07500000000000001
887888	0
887070	0.07500000000000001
886174	0.1
885028	0.07500000000000001
883756	0.025
882611	0.025
881743	0.025
881317	0.05
880455	0.05
879357	0.05
877371	0
875463	0.025
874075	0.025
873046	0.025
872126	0.025
871473	0.025
870568	0
869831	0
868910	0
867966	0
867331	0
866783	0.025
866073	0.05
864747	0.05
863791	0.025
863250	0
861815	0.025
860236	0.05
858832	0.15
857570	0.175
856450	0.15
855684	0.125
854944	0.175
854125	0.15
853177	0.125
852081	0.1
850975	0.1
848433	0.1
846391	0.1
845749	0.1
845227	0.125
844236	0.125
843260	0.07500000000000001
842606	0.175
841677	0.175
841033	0.24999999999999997
840594	0.24999999999999997
839522	0.3
838407	0.8250000000000004
836264	0.7750000000000004
835128	0.6250000000000002
834029	0.6250000000000002
833287	0.6000000000000002
832875	0.8500000000000004
831249	0.8750000000000004
829939	0.37500000000000006
828595	0.35000000000000003
827615	0.3
826753	0.175
826124	0.175
823113	0.8250000000000004
821691	0.7750000000000004
820594	0.05
819935	0.025
818273	0.05
816638	0.07500000000000001
814325	0.1
812495	0.125
810305	0.2
808515	0.4000000000000001
807405	0.24999999999999997
806719	0.2
805760	0.175
804766	0.175
803768	0.2
802605	0.2
801513	0.27499999999999997
795924	0.24999999999999997
790408	0.15
789214	0.07500000000000001
788138	0.025
787670	0
786515	0
784829	0
783492	0
782478	0
781392	0.05
780555	0.05
779602	0.025
778521	0
777597	0.025
776910	0.025
776349	0.025
774756	0
773151	0
772599	0.05
771474	0.05
770572	0.025
769682	0
768763	0.025
767869	0.05
766937	0.07500000000000001
765967	0.07500000000000001
764955	0.07500000000000001
763990	0
762335	0
760887	0.025
759482	0.07500000000000001
757981	0.07500000000000001
756208	0.07500000000000001
754211	0.05
752805	0.025
751906	0.025
751103	0.025
749814	0.05
747456	0.05
745851	0.07500000000000001
744282	0.5750000000000002
742563	0.5750000000000002
741551	0.5500000000000002
740735	0.24999999999999997
740003	0.24999999999999997
739356	0.3
738584	0.47500000000000014
737690	0.27499999999999997
737302	0.37500000000000006
735246	0.37500000000000006
733931	0.175
733087	0.125
731790	0.15
729898	0.1
728184	0.1
727241	0.07500000000000001
726553	0.1
724994	0.125
722799	0.1
721390	0.025
720157	0
719228	0
718499	0.025
717301	0.025
715996	0.025
714457	0.025
713432	0.05
713045	0.05
712084	0.05
710983	0.025
710358	0.05
709571	0.05
708801	0.05
707363	0.05
705802	0.07500000000000001
704130	0.05
703319	0.05
702607	0.025
701932	0.07500000000000001
701092	0.1
700215	0.4000000000000001
699136	0.37500000000000006
698038	0.025
697055	0
696125	0
694818	0
693546	0.025
692072	0.15
691013	0.15
690831	0.175
690434	0.15
690022	0.15
688852	0.025
687887	0.05
687423	0.05
687189	0.05
686786	0.025
686278	0.07500000000000001
685783	0.07500000000000001
684949	0.07500000000000001
683610	0.05
681758	0.225
680147	0.7000000000000003
679312	0.7000000000000003
678602	0.225
678047	1.1
676281	1.125
675052	1.0250000000000004
673662	1.125
671247	1.1749999999999998
670129	0.1
669398	0
668487	0.025
667283	0.025
666353	0
666039	0.025
665409	0.05
664666	0.025
663094	0.025
660805	0.1
659432	0.125
659017	0.125
658536	0.07500000000000001
657743	0
657136	0.025
656358	0.07500000000000001
654297	0.07500000000000001
651971	0.07500000000000001
650429	0.1
648817	0.07500000000000001
646989	0.025
645199	0.025
644262	0.025
643229	0.025
640405	0.05
637950	0.05
636094	0.025
634414	0
633774	0
632556	0.05
631506	0.05
631008	0.05
629692	0.025
628706	0.025
627900	0
626781	0.025
625280	0.05
623693	0.05
622018	0.05
620733	0.025
619218	0.025
618111	0.05
616978	0.05
616236	0.025
615872	0.025
615339	0.05
613800	0.05
612399	0.05
611965	0
610641	0.05
609687	0.05
609391	0.1
608615	0.1
608015	0.1
607352	0.1
606099	0.1
604342	0.15
602876	0.125
601409	0.07500000000000001
599438	0.07500000000000001
598074	0.1
597454	0.05
596689	0
595391	0.025
593715	0.025
592088	0
590683	0
589288	0.025
587771	0.05
586667	0.07500000000000001
585886	0.05
585031	0.05
584103	0.07500000000000001
583459	0.05
582852	0.05
581759	0.125
580581	0.2
579446	0.225
578436	0.1
578030	0.05
577645	0.05
577196	0.05
576355	0.07500000000000001
574272	0.15
572150	0.125
571675	0.05
571062	0.07500000000000001
570219	0.07500000000000001
569490	0.07500000000000001
569050	0.05
568535	0.05
567776	0.1
566758	1.0500000000000005
564883	1.0500000000000005
563099	1.3749999999999991
561401	0.9000000000000005
557592	0.9000000000000005
556026	0.2
555029	0.15
554408	0.1
553661	0.07500000000000001
552655	0.07500000000000001
551559	0.07500000000000001
550572	0.125
548954	0.125
547644	0.1
546843	0.1
546425	0.27499999999999997
545799	0.9250000000000004
545198	0.8500000000000004
544424	0.225
543309	0.125
542041	0.175
540742	0.2
539458	0.175
538011	0.175
536784	0.07500000000000001
535913	0.1
535235	0.1
534513	0.1
533192	0.07500000000000001
532508	0.025
531677	0.025
530857	0.025
529473	0.025
528015	0.025
526946	0.05
525626	0.025
524550	0.025
524059	0.025
523353	0.025
522702	0.025
521889	0
521140	0
520391	0
519602	0
519258	0.025
518212	0.05
515999	0.05
514282	0.05
512448	0.05
510601	0.05
509661	0
508795	0
508440	2.9499999999999935
507619	2.9499999999999935
506963	0.05
505829	0
505056	0
504003	0
502465	0.025
500996	0.025
499795	0
499459	0.025
498297	0.025
497191	0.025
495839	0.05
494067	0.07500000000000001
492810	0.07500000000000001
491500	0.05
489349	0.025
487865	0.025
487178	0.025
486161	0.05
485634	0.025
484758	0.05
483917	0.025
482849	0.025
480899	0.1
479603	0.1
478725	0.025
477330	0.05
476212	0.05
475658	0.025
474747	0.025
473570	0.025
472848	0.2
471486	0.225
470822	0.15
469739	0.125
467270	0.125
464622	0.1
462896	0.1
461865	0.025
460201	0.07500000000000001
458870	0.15
457607	0.125
455803	0.1
453116	0.05
451024	0.025
449911	0.025
448481	0.025
447392	0.025
446029	0.05
444585	0.025
443595	0.05
442649	0.025
441351	0.24999999999999997
438391	0.8750000000000004
435252	1.699999999999998
