	GCF_001060475.1_ASM106047v1_genomic	GCF_001060695.1_ASM106069v1_genomic	GCF_001061115.1_ASM106111v1_genomic	GCF_001061275.1_ASM106127v1_genomic	GCF_001061295.1_ASM106129v1_genomic	GCF_001062045.1_ASM106204v1_genomic	GCF_001063095.1_ASM106309v1_genomic	GCF_001064675.1_ASM106467v1_genomic	GCF_001076355.1_ASM107635v1_genomic	GCF_001905915.1_ASM190591v1_genomic	GCF_001905945.1_ASM190594v1_genomic	GCF_001905975.1_ASM190597v1_genomic	GCF_001905995.1_ASM190599v1_genomic	GCF_001906025.1_ASM190602v1_genomic	GCF_001906045.1_ASM190604v1_genomic	GCF_001906055.1_ASM190605v1_genomic	GCF_001906065.1_ASM190606v1_genomic	GCF_001906105.1_ASM190610v1_genomic	GCF_001906115.1_ASM190611v1_genomic	GCF_001906135.1_ASM190613v1_genomic	GCF_001906145.1_ASM190614v1_genomic	GCF_001906185.1_ASM190618v1_genomic	GCF_001906195.1_ASM190619v1_genomic	GCF_001906205.1_ASM190620v1_genomic	GCF_001906225.1_ASM190622v1_genomic	GCF_001906265.1_ASM190626v1_genomic	GCF_001906275.1_ASM190627v1_genomic	GCF_001906285.1_ASM190628v1_genomic	GCF_001906295.1_ASM190629v1_genomic	GCF_001906355.1_ASM190635v1_genomic	GCF_001906385.1_ASM190638v1_genomic	GCF_001906425.1_ASM190642v1_genomic	GCF_001906435.1_ASM190643v1_genomic	GCF_001906445.1_ASM190644v1_genomic	GCF_001933015.2_ASM193301v2_genomic	GCF_001933075.2_ASM193307v2_genomic	GCF_002205865.1_ASM220586v1_genomic	GCF_002241885.1_ASM224188v1_genomic	GCF_002247435.1_ASM224743v1_genomic	GCF_002247695.1_ASM224769v1_genomic	GCF_002247815.1_ASM224781v1_genomic	GCF_002247825.1_ASM224782v1_genomic	GCF_002247945.1_ASM224794v1_genomic	GCF_002248245.1_ASM224824v1_genomic	GCF_002248875.1_ASM224887v1_genomic	GCF_002249045.1_ASM224904v1_genomic	GCF_002249645.1_ASM224964v1_genomic	GCF_002290405.1_ASM229040v1_genomic	GCF_002290435.1_ASM229043v1_genomic	GCF_002290485.1_ASM229048v1_genomic	GCF_002317935.1_ASM231793v1_genomic	GCF_003336935.1_ASM333693v1_genomic	Total
OG0000000	12	1	3	0	0	1	0	1	60	8	12	4	10	6	1	8	3	3	8	2	8	13	3	7	8	1	4	1	2	3	5	11	3	1	1	1	8	166	21	4	2	1	1	4	9	1	2	16	1	2	7	0	460
OG0000001	1	1	3	4	8	1	6	8	2	2	6	2	8	8	8	10	8	7	7	7	8	9	7	7	8	7	8	7	6	8	9	8	7	4	3	5	0	6	0	4	3	2	5	8	5	4	3	2	3	1	2	0	266
OG0000002	0	0	4	0	0	0	0	0	9	1	5	1	7	2	3	2	3	4	3	6	5	5	3	3	2	2	4	3	3	2	2	3	2	2	2	0	4	5	0	10	30	6	0	2	0	2	0	7	49	1	11	1	221
OG0000003	0	0	3	2	2	0	3	5	2	2	5	2	6	5	3	5	4	4	6	6	7	7	4	5	5	5	6	5	4	5	5	5	5	5	1	0	2	4	2	3	3	4	5	5	3	5	5	3	2	2	2	7	196
OG0000004	0	0	0	1	1	1	1	1	0	8	8	6	10	10	1	10	6	5	9	6	9	7	7	12	7	2	6	3	5	7	8	6	6	3	0	0	0	12	0	0	0	0	0	0	1	1	0	0	0	0	0	1	187
OG0000005	1	1	3	2	2	1	5	2	8	3	3	3	3	5	2	5	5	3	3	4	3	3	3	4	4	6	3	3	4	5	4	2	4	4	5	3	3	4	2	3	2	4	2	2	5	5	2	4	2	2	2	3	171
OG0000006	2	2	5	3	3	2	3	3	1	3	4	3	4	2	4	2	2	4	4	4	3	4	4	2	2	2	4	2	1	2	2	3	1	2	2	6	3	2	4	4	3	4	3	4	4	4	4	5	3	5	6	3	163
OG0000007	0	0	3	2	2	0	5	3	2	6	1	5	1	2	3	2	5	0	1	3	1	1	1	2	4	6	1	2	3	5	3	2	3	3	4	4	1	2	8	9	5	6	5	1	3	3	4	4	6	4	3	1	156
OG0000008	0	0	1	0	0	0	1	0	0	9	8	6	9	7	0	7	5	4	8	8	8	7	6	8	6	1	7	3	1	2	5	7	3	4	0	1	1	6	0	0	2	1	0	0	0	2	0	1	1	0	0	0	156
OG0000009	6	1	3	1	1	3	1	4	1	4	3	4	6	6	4	4	5	3	3	3	5	5	4	2	2	4	5	2	2	4	2	2	2	3	0	3	3	2	3	4	3	1	2	5	2	2	0	4	2	4	1	2	153
OG0000010	1	1	7	4	4	1	2	5	1	3	4	3	4	1	4	1	1	2	4	2	4	4	4	1	1	1	4	4	1	1	1	3	1	1	1	4	3	1	4	4	3	4	4	3	5	4	4	4	4	6	4	4	152
OG0000011	1	1	2	1	2	1	2	2	2	5	3	5	3	4	3	5	4	3	3	3	3	3	3	3	3	4	3	3	3	4	3	4	3	4	3	1	1	3	2	6	2	3	2	3	3	1	1	2	1	1	2	4	142
OG0000012	0	0	3	2	2	0	1	2	3	0	2	0	2	5	2	5	5	3	2	4	2	2	2	5	5	5	2	2	2	5	5	7	1	2	3	3	6	5	1	1	2	2	3	5	4	4	2	2	0	4	2	2	141
OG0000013	0	0	4	5	5	0	4	5	1	1	4	1	3	2	4	2	2	4	4	4	4	3	3	2	2	2	4	4	1	2	2	0	1	1	2	2	3	1	3	5	3	4	2	2	2	3	3	4	2	5	4	4	140
OG0000014	0	0	0	1	0	0	1	4	0	2	1	1	1	5	1	6	2	2	3	6	4	2	2	2	6	1	1	1	3	3	3	3	6	2	0	2	1	39	0	2	2	2	0	3	1	3	1	2	1	0	2	1	137
OG0000015	0	0	1	1	1	0	1	2	1	2	5	2	5	2	5	3	2	5	5	1	5	5	5	1	2	2	5	5	4	2	1	6	6	2	1	6	0	2	2	6	1	2	3	2	3	3	0	1	1	0	1	5	134
OG0000016	2	1	1	1	1	1	0	1	1	2	5	2	7	4	6	3	4	2	7	2	7	8	2	3	5	3	6	3	3	3	3	5	3	2	0	2	1	3	4	2	0	2	0	1	0	2	2	1	2	1	0	1	133
