organism=Escherichia_coli_300_genomes	genome=GCF_000284495.1_ASM28449v1	contig=NC_011993.1
position	OrthoGroupID	complexity	hotspot
1232	OG0001379	0	-
2931	OG0001380	0	-
4041	OG0001381	0.09090909090909093	-
5046	OG0003097	0.1760540184453228	-
5632	OG0001382	0.2577206851119894	-
6805	OG0001383	0.12166666666666669	-
8275	OG0001384	0.04	-
9160	OG0001385	0	-
9942	OG0001386	0	-
10730	OG0001387	0	-
11315	OG0001388	0.06666666666666667	-
12847	OG0000822	0.12916666666666665	-
14459	OG0001389	0.5601641414141414	-
16276	OG0004782	0.5552398989898989	-
17423	OG0004783	0.429348633392751	-
18928	OG0004784	0.33843954248366015	-
20376	OG0002787	0.3901088588588589	-
21474	OG0002788	1.4443456614509238	+
22151	OG0001390	1.547475106685633	+
23082	OG0001391	0.2098515519568151	-
25004	OG0001392	0.02564102564102564	-
26659	OG0001393	0	-
27238	OG0001394	0	-
27940	OG0001395	0.07500000000000001	-
28938	OG0000823	0.125	-
29600	OG0005067	0.07500000000000001	-
30354	OG0001396	0.07500000000000001	-
31795	OG0001397	0.07500000000000001	-
33997	OG0001398	0.225	-
36066	OG0001399	0.2	-
36678	OG0001400	0.07500000000000001	-
37371	OG0001401	0.07500000000000001	-
38649	OG0001402	0.1	-
40107	OG0001403	0.125	-
41415	OG0001404	0.1	-
42774	OG0001405	0.05	-
44389	OG0001406	0.07500000000000001	-
45259	OG0001407	0.05	-
46424	OG0001408	0	-
47207	OG0001409	0	-
48075	OG0001410	0.05	-
49114	OG0002789	0.07500000000000001	-
50303	OG0001411	0.125	-
51610	OG0001412	0.27499999999999997	-
52107	OG0004355	0.225	-
52384	OG0004320	0.225	-
52962	OG0001413	0.27499999999999997	-
53581	OG0001414	0.05	-
54183	OG0001415	0	-
55085	OG0001416	0.025	-
56223	OG0001417	0.05	-
58096	OG0001418	0.025	-
59902	OG0001419	0.05	-
60790	OG0001420	0.07500000000000001	-
62585	OG0000482	0.05	-
65378	OG0003217	0.05	-
66976	OG0003218	0.025	-
68190	OG0003326	0.025	-
69802	OG0003327	0.05	-
71413	OG0003219	0.2	-
72775	OG0005592	0.15	-
73417	OG0005755	0.15	-
74165	OG0003220	0.125	-
75010	OG0003287	0.025	-
76148	OG0003221	0.07500000000000001	-
77420	OG0003222	0.15	-
78903	OG0003223	0.15	-
79885	OG0003672	0.1	-
80361	OG0003224	0.15	-
81375	OG0003098	0.1	-
82623	OG0003099	0.07500000000000001	-
83954	OG0003225	0.07500000000000001	-
86048	OG0003100	0.1	-
87700	OG0002790	0.07500000000000001	-
88810	OG0003226	0.05	-
89738	OG0001421	0.05	-
91071	OG0001422	0.025	-
91772	OG0001423	0.025	-
92422	OG0001424	0.07500000000000001	-
93504	OG0000824	0.05	-
95117	OG0001425	0.05	-
96537	OG0001426	0.025	-
97751	OG0001427	0.025	-
98953	OG0001428	0.025	-
100233	OG0001429	0	-
101385	OG0001430	0	-
102710	OG0001431	0	-
103901	OG0001432	0	-
104778	OG0001433	0	-
105821	OG0001434	0	-
107088	OG0001435	0	-
108223	OG0001436	0.025	-
109130	OG0002791	0.07500000000000001	-
110838	OG0001437	0.175	-
112450	OG0000825	0.125	-
112835	OG0001438	0.07500000000000001	-
113315	OG0001439	0	-
113997	OG0001440	0.05	-
115053	OG0001441	0.07500000000000001	-
116211	OG0000332	0.07500000000000001	-
117494	OG0000375	0.1	-
118417	OG0000826	0.07500000000000001	-
119287	OG0001442	0.05	-
120097	OG0001443	0.025	-
120797	OG0000827	0.05	-
121952	OG0001444	0.07500000000000001	-
127459	OG0001445	0.025	-
129333	OG0001446	0.025	-
131626	OG0001447	0.025	-
133492	OG0001448	0.025	-
135318	OG0001449	0.07500000000000001	-
137844	OG0000483	0.05	-
139499	OG0001450	0.05	-
140115	OG0001451	0.025	-
140961	OG0001452	0	-
141654	OG0001453	0.025	-
142788	OG0001454	0.05	-
145023	OG0000828	0.07500000000000001	-
146686	OG0001455	0.07500000000000001	-
147332	OG0001456	0	-
148235	OG0001457	0	-
149080	OG0001458	0	-
149790	OG0001459	0	-
150688	OG0001460	0.025	-
151497	OG0000829	0.1	-
152403	OG0001461	0.2	-
153352	OG0001462	0.125	-
154187	OG0001463	0.15	-
155327	OG0003637	0.225	-
156306	OG0003328	0.3	-
156935	OG0003534	0.2	-
157534	OG0003356	0.2	-
159128	OG0003357	0.27499999999999997	-
160827	OG0003374	0.24999999999999997	-
161601	OG0003402	0.15	-
162499	OG0001464	0.1	-
163418	OG0001465	0	-
164656	OG0001466	0.025	-
165383	OG0000830	0.025	-
166141	OG0001467	0.05	-
166773	OG0000831	0.05	-
168326	OG0000484	0.125	-
170902	OG0001468	0.5000000000000001	-
175081	OG0002792	0.4250000000000001	-
175925	OG0002793	0.325	-
177358	OG0002794	0.3	-
179024	OG0001469	0.27499999999999997	-
180599	OG0001470	0.2	-
181564	OG0001471	0.2	-
182094	OG0001472	0.225	-
182844	OG0002795	0.225	-
183586	OG0001473	0.27499999999999997	-
184777	OG0001474	0.24999999999999997	-
186378	OG0001475	0.225	-
187823	OG0000832	0.225	-
188648	OG0001476	0.125	-
189572	OG0001477	0.05	-
191351	OG0000833	0.025	-
193146	OG0001478	0.025	-
194273	OG0001479	0	-
195196	OG0001480	0	-
196131	OG0001481	0	-
196922	OG0001482	0.025	-
197891	OG0001483	0.025	-
199057	OG0001484	0.025	-
199512	OG0003384	0.025	-
199931	OG0001485	0.025	-
200994	OG0001486	0.05	-
202916	OG0000834	0.05	-
204496	OG0001487	0.025	-
205255	OG0001488	0	-
206100	OG0001489	0	-
206726	OG0001490	0	-
207694	OG0001491	0	-
208563	OG0001492	0.025	-
210639	OG0000835	0.025	-
212872	OG0001493	0.07500000000000001	-
214520	OG0000836	0.07500000000000001	-
215842	OG0001494	0.07500000000000001	-
216751	OG0001495	0.025	-
217579	OG0001496	0.025	-
217796	OG0003101	0.05	-
218334	OG0001497	0.05	-
218815	OG0001498	0	-
219395	OG0001499	0.07500000000000001	-
220318	OG0000309	0.07500000000000001	-
221642	OG0000837	0.1	-
222965	OG0000838	0.07500000000000001	-
223518	OG0001500	0.07500000000000001	-
224245	OG0000839	0.07500000000000001	-
225019	OG0000840	0.15	-
225854	OG0000841	0.175	-
226844	OG0000485	0.225	-
