	GCF_000240095.2_ASM24009v3_genomic	GCF_000331815.1_ASM33181v1_genomic	GCF_000447375.1_C874_spades_genomic	GCF_000495935.2_ASM49593v2_genomic	GCF_000495955.1_NUHP2_genomic	GCF_000495975.1_NUHP3_genomic	GCF_000495995.1_NUH1_genomic	GCF_000496015.1_NUH4_genomic	GCF_000496035.1_NUH6_genomic	GCF_000496055.1_NUH11_genomic	GCF_000689455.1_E18064v1_PRJEB5242_genomic	GCF_000689515.1_E27107v1_PRJEB5243_genomic	GCF_000735205.1_ASM73520v1_genomic	GCF_000982575.1_PW2806_genomic	GCF_001011675.1_ASM101167v1_genomic	GCF_001050935.1_ASM105093v1_genomic	GCF_001051975.1_ASM105197v1_genomic	GCF_001482795.1_ASM148279v1_genomic	GCF_001521815.1_ASM152181v1_genomic	GCF_001596175.2_ASM159617v2_genomic	GCF_001618465.2_ASM161846v2_genomic	GCF_001618505.2_ASM161850v2_genomic	GCF_001618545.2_ASM161854v2_genomic	GCF_001703835.1_ASM170383v1_genomic	GCF_002022025.1_ASM202202v1_genomic	GCF_002022045.1_ASM202204v1_genomic	GCF_002022065.1_ASM202206v1_genomic	GCF_002022085.1_ASM202208v1_genomic	GCF_002023105.1_ASM202310v1_genomic	GCF_002023135.1_ASM202313v1_genomic	GCF_002023145.1_ASM202314v1_genomic	GCF_002023175.1_ASM202317v1_genomic	GCF_002023195.1_ASM202319v1_genomic	GCF_002023235.1_ASM202323v1_genomic	GCF_002023325.1_ASM202332v1_genomic	GCF_002023425.1_ASM202342v1_genomic	GCF_002023565.1_ASM202356v1_genomic	GCF_002023625.1_ASM202362v1_genomic	GCF_002023645.1_ASM202364v1_genomic	GCF_002023665.2_ASM202366v2_genomic	GCF_002023695.1_ASM202369v1_genomic	GCF_002023705.1_ASM202370v1_genomic	GCF_002024825.1_ASM202482v1_genomic	GCF_002277995.2_ASM227799v2_genomic	GCF_002310515.1_ASM231051v1_genomic	GCF_002310535.1_ASM231053v1_genomic	GCF_002843925.1_ASM284392v1_genomic	GCF_002843945.1_ASM284394v1_genomic	GCF_002888615.1_ASM288861v1_genomic	GCF_002951395.1_ASM295139v1_genomic	GCF_002951455.1_ASM295145v1_genomic	GCF_002995685.1_ASM299568v1_genomic	GCF_002995695.1_ASM299569v1_genomic	GCF_002995725.1_ASM299572v1_genomic	GCF_003293825.1_ASM329382v1_genomic	GCF_003293835.1_ASM329383v1_genomic	GCF_900092065.1_ASM90009206v1_genomic	GCF_900092085.1_ASM90009208v1_genomic	GCF_900156945.1_Elizabethkingia_anophelis_CIP108654_genomic	GCF_900156985.1_ASM90015698v1_genomic	GCF_900156995.1_ASM90015699v1_genomic	GCF_900157025.1_ASM90015702v1_genomic	Total
OG0000000	10	9	5	1	1	1	1	1	1	4	0	0	2	0	5	0	7	2	5	0	0	0	0	7	5	9	1	7	0	9	1	1	7	1	1	0	7	0	4	10	2	0	1	1	10	10	4	4	2	1	1	5	5	5	1	1	10	8	0	5	0	5	206
OG0000001	8	8	5	3	3	3	3	4	4	4	3	3	3	0	4	0	7	3	0	3	3	3	3	5	0	0	2	3	3	0	2	3	3	2	3	2	2	3	3	8	2	2	3	2	8	8	2	2	9	4	4	4	2	4	2	2	7	0	2	0	0	1	194
OG0000002	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	3	0	2	2	3	3	3	3	2	2	2	3	3	3	2	3	3	3	1	2	2	2	2	3	3	2	3	3	3	3	3	2	2	2	2	2	2	2	2	1	2	3	2	2	2	2	2	149
OG0000003	2	2	5	2	2	2	2	2	2	2	2	2	1	7	2	3	2	4	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3	2	2	2	2	6	2	2	2	2	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	1	3	142
OG0000004	6	6	2	1	1	1	1	1	1	3	1	1	0	1	4	2	2	1	3	1	1	1	1	6	3	4	1	2	1	3	1	1	2	0	1	1	1	0	2	6	4	1	1	1	6	6	4	4	1	1	1	4	4	4	0	1	6	4	1	3	1	1	136
OG0000005	3	3	1	3	3	3	3	3	3	3	2	2	1	2	2	2	2	2	2	3	3	3	3	2	2	1	2	3	3	1	2	2	1	2	2	2	1	1	1	3	2	3	2	2	3	3	2	2	1	2	2	2	2	2	2	2	3	1	2	2	2	1	133
OG0000006	2	2	0	3	3	3	3	3	2	2	3	3	0	3	2	3	2	2	3	4	4	4	4	2	3	1	3	0	4	1	3	3	0	2	4	3	0	0	2	2	3	2	3	3	2	2	0	0	0	3	3	0	0	0	2	4	2	1	3	3	3	0	132
OG0000007	1	1	1	0	0	0	0	0	0	0	3	2	3	2	0	3	1	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	5	5	2	3	5	1	1	2	0	2	2	1	1	4	4	3	2	2	4	4	4	5	3	1	1	3	2	3	3	124
OG0000008	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	124
OG0000009	0	0	1	6	6	6	6	5	6	7	1	1	0	3	2	3	0	1	0	3	3	3	3	2	0	1	3	1	3	1	3	1	1	3	3	0	1	3	1	0	2	7	1	7	0	0	0	0	0	1	1	0	0	0	1	5	0	1	3	0	1	1	124
