	GCF_000025205.1_ASM2520v1_genomic	GCF_000159155.2_ASM15915v2_genomic	GCF_000165615.1_ASM16561v2_genomic	GCF_000165635.1_ASM16563v2_genomic	GCF_000176475.1_ASM17647v1_genomic	GCF_000176495.1_ASM17649v1_genomic	GCF_000178355.1_ASM17835v1_genomic	GCF_000213955.1_ASM21395v1_genomic	GCF_000214315.1_ASM21431v2_genomic	GCF_000263435.1_ASM26343v1_genomic	GCF_000263475.1_ASM26347v1_genomic	GCF_000263495.1_ASM26349v1_genomic	GCF_000263515.1_ASM26351v1_genomic	GCF_000263535.1_ASM26353v1_genomic	GCF_000263555.1_ASM26355v1_genomic	GCF_000263575.1_ASM26357v1_genomic	GCF_000263595.1_ASM26359v1_genomic	GCF_000263615.1_ASM26361v1_genomic	GCF_000263635.1_ASM26363v1_genomic	GCF_000263655.1_ASM26365v1_genomic	GCF_000414425.1_ASM41442v1_genomic	GCF_000414445.1_ASM41444v1_genomic	GCF_000414465.1_ASM41446v1_genomic	GCF_000414485.1_ASM41448v1_genomic	GCF_000414505.1_ASM41450v1_genomic	GCF_000414525.1_ASM41452v1_genomic	GCF_000414545.1_ASM41454v1_genomic	GCF_000414565.1_ASM41456v1_genomic	GCF_000414585.1_ASM41458v1_genomic	GCF_000414605.1_ASM41460v1_genomic	GCF_000414625.1_ASM41462v1_genomic	GCF_000414645.1_ASM41464v1_genomic	GCF_000414665.1_ASM41466v1_genomic	GCF_000414685.1_ASM41468v1_genomic	GCF_000414705.1_ASM41470v1_genomic	GCF_001042655.1_ASM104265v1_genomic	GCF_001049785.1_ASM104978v1_genomic	GCF_001278345.1_ASM127834v1_genomic	GCF_001546445.1_ASM154644v1_genomic	GCF_001546455.1_ASM154645v1_genomic	GCF_001546485.1_ASM154648v1_genomic	GCF_001563665.1_ASM156366v1_genomic	GCF_001660735.1_ASM166073v1_genomic	GCF_001660755.1_ASM166075v1_genomic	GCF_001913835.1_ASM191383v1_genomic	GCF_001953155.1_ASM195315v1_genomic	GCF_002206225.1_ASM220622v2_genomic	GCF_002861125.1_ASM286112v1_genomic	GCF_002861145.1_ASM286114v1_genomic	GCF_002861165.1_ASM286116v1_genomic	GCF_002861885.1_ASM286188v1_genomic	GCF_002861905.1_ASM286190v1_genomic	GCF_002861925.1_ASM286192v1_genomic	GCF_002861945.1_ASM286194v1_genomic	GCF_002861965.1_ASM286196v1_genomic	GCF_002861975.1_ASM286197v1_genomic	GCF_002862005.1_ASM286200v1_genomic	GCF_002862015.1_ASM286201v1_genomic	GCF_002862045.1_ASM286204v1_genomic	GCF_002862065.1_ASM286206v1_genomic	GCF_002871555.1_ASM287155v1_genomic	GCF_002884775.1_ASM288477v1_genomic	GCF_002884795.1_ASM288479v1_genomic	GCF_002884835.1_ASM288483v1_genomic	GCF_002884855.1_ASM288485v1_genomic	GCF_002884875.1_ASM288487v1_genomic	GCF_002894105.1_ASM289410v1_genomic	GCF_002896555.1_ASM289655v1_genomic	GCF_003034925.1_ASM303492v1_genomic	GCF_003293675.1_ASM329367v1_genomic	GCF_003369875.1_ASM336987v1_genomic	GCF_003369895.1_ASM336989v1_genomic	GCF_003369935.1_ASM336993v1_genomic	GCF_003369965.1_ASM336996v1_genomic	GCF_003397585.1_ASM339758v1_genomic	GCF_003397605.1_ASM339760v1_genomic	GCF_003397615.1_ASM339761v1_genomic	GCF_003397635.1_ASM339763v1_genomic	GCF_003397665.1_ASM339766v1_genomic	GCF_003397685.1_ASM339768v1_genomic	GCF_003397705.1_ASM339770v1_genomic	GCF_003397745.1_ASM339774v1_genomic	GCF_003397755.1_ASM339775v1_genomic	GCF_003408745.1_ASM340874v1_genomic	GCF_003408775.1_ASM340877v1_genomic	GCF_003408785.1_ASM340878v1_genomic	GCF_003408815.1_ASM340881v1_genomic	GCF_003408835.1_ASM340883v1_genomic	GCF_003408845.1_ASM340884v1_genomic	GCF_900105405.1_IMG-taxon_2630968301_annotated_assembly_genomic	Total
OG0000000	4	3	3	6	4	6	3	3	3	4	5	7	4	3	3	4	4	6	3	5	3	5	5	4	3	5	3	2	4	4	5	0	4	3	3	3	3	3	4	6	6	4	4	4	4	7	4	3	3	4	6	4	4	3	3	3	4	4	4	5	4	3	3	3	2	2	4	1	4	3	4	6	6	5	7	5	2	2	2	3	2	3	6	4	5	5	3	4	3	3	347
OG0000001	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	270
OG0000002	0	5	2	2	3	0	4	6	4	3	5	3	4	5	4	3	3	5	1	3	2	0	0	0	0	0	1	1	0	0	3	0	0	1	0	5	5	5	3	2	0	3	1	2	5	0	6	3	3	5	4	4	7	4	5	5	6	7	5	4	0	2	0	6	0	0	7	4	1	4	4	4	4	4	5	5	5	3	7	5	0	0	6	3	3	4	0	3	0	5	266
OG0000003	2	4	1	6	1	1	4	5	4	4	3	6	2	5	5	1	1	3	1	1	2	1	1	2	2	4	2	1	3	3	3	6	3	4	4	4	5	4	1	1	1	1	6	4	4	1	4	2	2	4	3	3	5	6	6	6	5	5	5	2	0	1	1	4	1	1	5	2	4	2	3	2	2	2	1	4	2	2	6	4	1	2	4	5	1	3	1	3	1	4	265
OG0000004	1	5	1	3	0	1	4	4	1	3	3	4	5	4	4	0	1	5	4	4	1	0	0	2	1	1	2	1	5	5	3	2	5	1	0	4	2	4	6	1	0	0	3	4	4	1	4	0	0	4	5	2	4	4	4	4	4	4	4	0	0	1	1	4	1	1	4	1	5	0	5	5	7	5	1	4	1	0	4	4	1	1	5	2	3	1	1	4	1	4	235
OG0000005	2	3	1	3	1	1	3	3	3	1	3	4	2	4	2	1	1	3	1	1	2	1	1	2	2	3	2	1	3	3	3	3	3	2	1	3	3	3	1	1	1	1	3	3	3	1	3	2	2	3	3	3	4	4	4	4	3	3	3	2	0	1	1	3	1	1	3	1	3	2	3	2	2	2	1	3	2	2	3	3	1	2	3	4	1	3	1	3	1	3	202
OG0000006	4	2	2	3	4	3	2	3	2	2	3	3	2	2	2	4	3	2	2	3	1	1	1	0	1	1	1	0	1	1	1	1	1	2	0	2	4	2	2	2	2	2	2	2	2	5	2	4	4	2	2	2	2	2	2	2	2	2	2	4	2	3	3	2	3	3	2	4	2	4	2	2	2	1	2	2	2	4	2	2	3	5	2	1	2	3	3	2	2	2	201
OG0000007	2	2	2	1	2	2	2	4	1	1	3	3	3	3	3	1	2	1	0	0	1	2	2	1	2	2	1	3	2	3	2	2	1	1	1	2	3	2	3	1	2	3	1	5	3	5	3	1	1	6	5	1	3	2	1	1	5	5	2	3	2	1	4	1	2	2	2	3	4	3	2	1	1	3	2	1	3	0	1	2	3	0	5	1	0	6	6	2	2	2	200
OG0000008	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	186
OG0000009	3	3	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2	1	3	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	2	3	2	3	1	1	2	1	3	2	2	3	2	2	2	2	1	1	2	2	2	2	2	2	3	2	0	2	3	2	3	3	2	1	2	2	2	1	1	1	3	2	2	2	2	3	3	3	2	2	2	2	2	2	3	3	182
